segregation_id,date,user_id,material_type,processed_qty,remaining_qty,status
38,2024-02-25 00:00:00,80,Paper,203.712,50.928,Rejected
39,2023-08-12 00:00:00,8,Paper,129.688,32.422,Completed
40,2023-02-24 00:00:00,99,Paper,249.632,62.408,Completed
41,2023-02-06 00:00:00,22,Organic,246.64,61.66,Completed
42,2024-01-09 00:00:00,27,Organic,321.4,80.35,Completed
43,2023-05-18 00:00:00,76,Metal,36.136,9.034,Pending
44,2023-06-29 00:00:00,53,Metal,74.392,18.598,Completed
45,2023-08-22 00:00:00,27,Organic,26.656,6.664,Completed
46,2023-01-27 00:00:00,80,Plastic,123.808,30.952,Completed
47,2023-11-07 00:00:00,25,Glass,108.56,27.14,Completed
48,2024-01-28 00:00:00,98,Glass,331.824,82.956,Rejected
49,2024-02-23 00:00:00,59,Organic,19.424,4.856,Completed
50,2023-04-05 00:00:00,61,Glass,373.44,93.36,Rejected
51,2023-12-14 00:00:00,84,Plastic,300.736,75.184,Completed
52,2023-04-05 00:00:00,30,Metal,370.208,92.552,Pending
53,2024-02-18 00:00:00,81,Metal,8.152,2.038,Completed
54,2023-11-06 00:00:00,32,Paper,38.48,9.62,Completed
55,2024-01-14 00:00:00,20,Plastic,290.68,72.67,Completed
56,2023-03-24 00:00:00,88,Metal,348.376,87.094,Pending
57,2023-05-25 00:00:00,85,Plastic,339.904,84.976,Pending
58,2023-06-01 00:00:00,22,Glass,303.704,75.926,Pending
59,2023-08-08 00:00:00,95,Paper,396.424,99.106,Pending
60,2023-01-20 00:00:00,52,Glass,170.032,42.508,Rejected
61,2023-12-17 00:00:00,44,Metal,54.232,13.558,Completed
62,2023-06-04 00:00:00,34,Organic,100.264,25.066,Completed
63,2023-01-03 00:00:00,32,Metal,171.352,42.838,Rejected
64,2023-06-05 00:00:00,37,Organic,42.776,10.694,Pending
65,2023-05-09 00:00:00,10,Paper,339.08,84.77,Pending
66,2023-10-30 00:00:00,76,Glass,222.12,55.53,Pending
67,2023-05-04 00:00:00,37,Paper,394.696,98.674,Completed
68,2023-07-31 00:00:00,43,Paper,103.28,25.82,Completed
69,2023-01-26 00:00:00,85,Glass,237.472,59.368,Rejected
70,2024-01-01 00:00:00,41,Organic,167.84,41.96,Rejected
71,2023-09-10 00:00:00,35,Glass,30.232,7.558,Completed
72,2023-03-21 00:00:00,56,Glass,33.152,8.288,Pending
73,2023-10-20 00:00:00,29,Plastic,229.904,57.476,Rejected
74,2023-01-13 00:00:00,80,Organic,252.152,63.038,Rejected
75,2024-01-24 00:00:00,94,Glass,375.72,93.93,Rejected
76,2023-08-03 00:00:00,75,Paper,358.68,89.67,Rejected
77,2023-06-08 00:00:00,14,Metal,229.488,57.372,Completed
78,2023-10-13 00:00:00,52,Organic,154.456,38.614,Pending
79,2023-09-03 00:00:00,31,Plastic,16.88,4.22,Rejected
80,2023-05-01 00:00:00,68,Paper,156.28,39.07,Completed
81,2023-05-18 00:00:00,63,Paper,283.64,70.91,Completed
82,2023-03-17 00:00:00,45,Organic,174.52,43.63,Pending
83,2023-03-13 00:00:00,76,Metal,388.088,97.022,Pending
84,2023-02-21 00:00:00,44,Glass,201.816,50.454,Rejected
85,2023-12-30 00:00:00,33,Plastic,176.384,44.096,Rejected
86,2023-08-31 00:00:00,58,Plastic,365.312,91.328,Rejected
87,2023-08-05 00:00:00,92,Glass,246.384,61.596,Pending
88,2023-04-03 00:00:00,96,Plastic,122.616,30.654,Completed
89,2023-03-09 00:00:00,66,Plastic,286.64,71.66,Completed
90,2023-11-28 00:00:00,13,Plastic,330.312,82.578,Pending
91,2023-09-02 00:00:00,67,Glass,375.28,93.82,Rejected
92,2024-03-17 00:00:00,82,Glass,251.08,62.77,Pending
93,2023-05-04 00:00:00,57,Glass,238.896,59.724,Pending
94,2023-05-30 00:00:00,31,Glass,322.776,80.694,Rejected
95,2023-10-01 00:00:00,58,Metal,285.128,71.282,Pending
96,2023-10-22 00:00:00,28,Glass,208.576,52.144,Completed
97,2023-12-27 00:00:00,84,Plastic,376.6,94.15,Pending
98,2023-09-29 00:00:00,14,Plastic,283.592,70.898,Pending
99,2023-08-16 00:00:00,61,Plastic,334.968,83.742,Completed
100,2023-04-24 00:00:00,74,Glass,75.896,18.974,Pending
101,2023-05-23 00:00:00,33,Plastic,238.072,59.518,Rejected
102,2024-02-26 00:00:00,50,Organic,317.152,79.288,Pending
103,2023-11-26 00:00:00,38,Metal,392.376,98.094,Completed
104,2024-02-08 00:00:00,9,Organic,316.88,79.22,Pending
105,2024-01-14 00:00:00,78,Metal,175.288,43.822,Rejected
106,2023-08-31 00:00:00,44,Plastic,368.184,92.046,Pending
107,2023-05-01 00:00:00,83,Metal,19.408,4.852,Rejected
108,2023-07-04 00:00:00,47,Metal,316.568,79.142,Rejected
109,2023-05-25 00:00:00,99,Glass,89.608,22.402,Completed
110,2023-12-05 00:00:00,65,Glass,274.824,68.706,Pending
111,2023-07-07 00:00:00,26,Glass,59.28,14.82,Completed
112,2023-02-25 00:00:00,1,Glass,122.488,30.622,Completed
113,2023-03-26 00:00:00,24,Metal,59.368,14.842,Pending
114,2024-01-29 00:00:00,40,Plastic,188.192,47.048,Completed
115,2023-01-11 00:00:00,57,Plastic,20.632,5.158,Completed
116,2023-05-10 00:00:00,93,Organic,25.84,6.46,Pending
117,2023-06-05 00:00:00,75,Organic,345.952,86.488,Pending
118,2023-08-24 00:00:00,74,Glass,328.2,82.05,Rejected
119,2023-08-13 00:00:00,13,Organic,164.448,41.112,Rejected
120,2024-01-19 00:00:00,26,Metal,167.92,41.98,Pending
121,2024-03-10 00:00:00,29,Organic,49.112,12.278,Pending
122,2023-02-18 00:00:00,52,Glass,283.6,70.9,Completed
123,2023-09-03 00:00:00,84,Metal,170.016,42.504,Rejected
124,2023-08-27 00:00:00,6,Organic,47.672,11.918,Rejected
125,2023-01-21 00:00:00,81,Paper,58.368,14.592,Pending
126,2023-05-08 00:00:00,37,Plastic,361.152,90.288,Completed
127,2023-10-25 00:00:00,77,Organic,386.936,96.734,Pending
128,2023-08-27 00:00:00,2,Organic,247.008,61.752,Pending
129,2023-03-31 00:00:00,28,Organic,346.368,86.592,Pending
130,2023-07-13 00:00:00,49,Paper,138.92,34.73,Completed
131,2023-04-06 00:00:00,74,Metal,361.656,90.414,Completed
132,2023-08-03 00:00:00,67,Glass,213.184,53.296,Rejected
133,2023-12-11 00:00:00,9,Paper,294.264,73.566,Completed
134,2024-03-20 00:00:00,70,Paper,283.192,70.798,Completed
135,2023-05-10 00:00:00,14,Glass,72.448,18.112,Rejected
136,2023-03-01 00:00:00,32,Glass,131.36,32.84,Completed
137,2023-03-08 00:00:00,95,Metal,342.12,85.53,Pending
138,2024-03-25 00:00:00,32,Organic,190.928,47.732,Rejected
139,2023-12-14 00:00:00,64,Glass,225.192,56.298,Pending
140,2024-02-01 00:00:00,74,Organic,212.176,53.044,Rejected
141,2023-03-20 00:00:00,6,Organic,132.76,33.19,Rejected
142,2024-02-29 00:00:00,41,Organic,142.824,35.706,Pending
143,2023-05-28 00:00:00,3,Organic,204.752,51.188,Pending
144,2023-11-24 00:00:00,57,Paper,111.36,27.84,Completed
145,2024-01-23 00:00:00,42,Metal,43.512,10.878,Completed
146,2023-03-27 00:00:00,40,Paper,385.216,96.304,Rejected
147,2023-07-08 00:00:00,96,Paper,122.096,30.524,Completed
148,2023-05-10 00:00:00,90,Metal,324.904,81.226,Completed
149,2024-02-18 00:00:00,19,Glass,84.064,21.016,Completed
150,2024-03-24 00:00:00,22,Glass,318.456,79.614,Pending
151,2023-05-06 00:00:00,40,Organic,328.68,82.17,Rejected
152,2024-03-14 00:00:00,62,Paper,154.8,38.7,Pending
153,2023-04-23 00:00:00,25,Glass,20.72,5.18,Rejected
154,2023-02-22 00:00:00,34,Organic,393.168,98.292,Completed
155,2023-09-04 00:00:00,54,Metal,378.584,94.646,Completed
156,2023-10-21 00:00:00,99,Paper,127.008,31.752,Pending
157,2023-04-15 00:00:00,84,Paper,33.088,8.272,Rejected
158,2023-07-28 00:00:00,43,Plastic,59.264,14.816,Completed
159,2023-02-21 00:00:00,87,Metal,24.472,6.118,Completed
160,2023-10-14 00:00:00,57,Paper,213.824,53.456,Pending
161,2023-11-11 00:00:00,83,Metal,372.584,93.146,Rejected
162,2023-05-19 00:00:00,96,Organic,55.592,13.898,Pending
163,2023-09-09 00:00:00,91,Organic,270.032,67.508,Completed
164,2024-02-11 00:00:00,80,Paper,374.272,93.568,Rejected
165,2024-02-23 00:00:00,73,Glass,206.216,51.554,Completed
166,2024-01-18 00:00:00,44,Plastic,117.408,29.352,Completed
167,2023-03-13 00:00:00,83,Paper,222.416,55.604,Completed
168,2023-02-28 00:00:00,77,Plastic,303.608,75.902,Rejected
169,2023-09-27 00:00:00,45,Glass,173.232,43.308,Pending
170,2024-02-08 00:00:00,83,Glass,285.992,71.498,Completed
171,2023-03-18 00:00:00,66,Paper,43.784,10.946,Pending
172,2023-10-28 00:00:00,20,Paper,343.92,85.98,Pending
173,2024-03-26 00:00:00,95,Paper,290.288,72.572,Pending
174,2024-02-12 00:00:00,21,Organic,278.808,69.702,Completed
175,2023-04-08 00:00:00,84,Glass,268.736,67.184,Pending
176,2023-09-12 00:00:00,53,Organic,258.36,64.59,Pending
177,2023-07-08 00:00:00,67,Plastic,71.48,17.87,Pending
178,2023-10-29 00:00:00,50,Paper,153.216,38.304,Completed
179,2024-02-18 00:00:00,27,Glass,149.232,37.308,Pending
180,2023-01-09 00:00:00,20,Plastic,77.712,19.428,Pending
181,2023-10-10 00:00:00,85,Glass,85.232,21.308,Rejected
182,2023-07-30 00:00:00,15,Metal,40.544,10.136,Pending
183,2023-07-05 00:00:00,40,Glass,78.536,19.634,Rejected
184,2023-11-20 00:00:00,16,Organic,71.72,17.93,Rejected
185,2023-11-20 00:00:00,89,Glass,237.648,59.412,Completed
186,2024-02-24 00:00:00,36,Glass,55.584,13.896,Pending
187,2024-02-11 00:00:00,39,Paper,79.192,19.798,Pending
188,2023-03-09 00:00:00,93,Glass,36.312,9.078,Completed
189,2023-02-03 00:00:00,95,Metal,158.976,39.744,Pending
190,2023-04-26 00:00:00,33,Organic,296.744,74.186,Completed
191,2023-08-22 00:00:00,19,Glass,308.96,77.24,Completed
192,2023-11-06 00:00:00,83,Organic,240.16,60.04,Rejected
193,2023-08-05 00:00:00,25,Paper,42.76,10.69,Completed
194,2023-03-10 00:00:00,4,Metal,386.872,96.718,Completed
195,2023-04-29 00:00:00,76,Metal,24.608,6.152,Pending
196,2023-11-18 00:00:00,55,Organic,315.984,78.996,Pending
197,2023-07-15 00:00:00,11,Organic,45.112,11.278,Pending
198,2023-06-10 00:00:00,60,Glass,222.216,55.554,Pending
199,2023-03-23 00:00:00,84,Glass,84.232,21.058,Completed
200,2023-06-30 00:00:00,35,Plastic,340.368,85.092,Pending
201,2023-09-10 00:00:00,7,Plastic,239.504,59.876,Rejected
202,2023-05-22 00:00:00,29,Metal,98.56,24.64,Completed
203,2023-10-02 00:00:00,96,Plastic,117.792,29.448,Completed
204,2023-12-11 00:00:00,5,Glass,158.92,39.73,Rejected
205,2023-06-08 00:00:00,29,Plastic,99.544,24.886,Completed
206,2023-02-16 00:00:00,25,Organic,163.12,40.78,Rejected
207,2023-05-05 00:00:00,64,Plastic,381.608,95.402,Completed
208,2023-08-15 00:00:00,51,Plastic,228.944,57.236,Rejected
209,2023-01-26 00:00:00,33,Paper,278.144,69.536,Pending
210,2023-01-09 00:00:00,15,Paper,85.248,21.312,Completed
211,2023-07-24 00:00:00,99,Plastic,70.296,17.574,Rejected
212,2023-10-18 00:00:00,19,Glass,371.936,92.984,Pending
213,2023-06-07 00:00:00,65,Plastic,386.096,96.524,Rejected
214,2023-01-01 00:00:00,32,Plastic,234.776,58.694,Rejected
215,2024-03-25 00:00:00,4,Glass,268.728,67.182,Pending
216,2023-04-02 00:00:00,28,Metal,309.728,77.432,Pending
217,2023-12-21 00:00:00,92,Metal,109.568,27.392,Rejected
218,2023-12-25 00:00:00,12,Organic,124.336,31.084,Completed
219,2023-06-10 00:00:00,98,Paper,39.32,9.83,Pending
220,2023-03-27 00:00:00,11,Organic,282.872,70.718,Completed
221,2023-01-14 00:00:00,48,Paper,185.416,46.354,Completed
222,2023-10-07 00:00:00,68,Plastic,117.728,29.432,Rejected
223,2023-02-25 00:00:00,100,Paper,241.36,60.34,Completed
224,2023-10-17 00:00:00,78,Metal,349.848,87.462,Completed
225,2023-10-27 00:00:00,100,Metal,299.248,74.812,Completed
226,2023-05-31 00:00:00,6,Organic,280.28,70.07,Completed
227,2023-03-02 00:00:00,56,Plastic,152.672,38.168,Pending
228,2024-02-24 00:00:00,55,Paper,27.288,6.822,Completed
229,2023-05-18 00:00:00,79,Glass,184.976,46.244,Pending
230,2023-05-23 00:00:00,82,Metal,9.2,2.3,Completed
231,2023-03-18 00:00:00,60,Organic,175.536,43.884,Rejected
232,2023-06-30 00:00:00,82,Plastic,101.088,25.272,Pending
233,2023-01-01 00:00:00,1,Organic,46.752,11.688,Rejected
234,2023-01-31 00:00:00,49,Paper,252,63,Pending
235,2023-12-10 00:00:00,54,Metal,313.76,78.44,Completed
236,2023-07-18 00:00:00,90,Metal,214.448,53.612,Completed
237,2023-03-01 00:00:00,57,Plastic,244.336,61.084,Completed
238,2024-02-02 00:00:00,15,Plastic,258.912,64.728,Pending
239,2023-09-07 00:00:00,40,Metal,274.56,68.64,Completed
240,2023-12-19 00:00:00,24,Plastic,372.408,93.102,Completed
241,2023-03-08 00:00:00,95,Organic,35.448,8.862,Rejected
242,2023-04-08 00:00:00,65,Paper,387.144,96.786,Rejected
243,2023-10-19 00:00:00,7,Organic,33.416,8.354,Completed
244,2023-12-06 00:00:00,39,Glass,78.28,19.57,Rejected
245,2023-06-18 00:00:00,66,Glass,291.952,72.988,Rejected
246,2023-02-27 00:00:00,10,Paper,81.936,20.484,Pending
247,2023-11-24 00:00:00,3,Paper,211.328,52.832,Completed
248,2023-11-20 00:00:00,54,Glass,71.168,17.792,Rejected
249,2024-02-19 00:00:00,11,Glass,163.056,40.764,Rejected
250,2023-05-07 00:00:00,91,Paper,73.752,18.438,Completed
251,2023-06-15 00:00:00,8,Plastic,58.008,14.502,Completed
252,2023-09-26 00:00:00,28,Organic,165.856,41.464,Completed
253,2023-03-01 00:00:00,79,Organic,196.76,49.19,Rejected
254,2023-02-16 00:00:00,34,Plastic,46.192,11.548,Completed
255,2023-11-09 00:00:00,46,Glass,303.712,75.928,Rejected
256,2023-01-29 00:00:00,64,Paper,110.544,27.636,Pending
257,2023-01-22 00:00:00,67,Paper,86.04,21.51,Pending
258,2023-06-07 00:00:00,23,Organic,219.976,54.994,Rejected
259,2023-05-10 00:00:00,82,Metal,10.728,2.682,Completed
260,2023-10-13 00:00:00,85,Metal,31.568,7.892,Completed
261,2023-04-09 00:00:00,5,Metal,172.648,43.162,Completed
262,2024-01-18 00:00:00,72,Glass,346.488,86.622,Rejected
263,2023-06-06 00:00:00,24,Paper,13.528,3.382,Completed
264,2023-09-01 00:00:00,11,Metal,164.992,41.248,Completed
265,2023-01-17 00:00:00,4,Paper,16.824,4.206,Pending
266,2024-03-06 00:00:00,83,Plastic,350.352,87.588,Pending
267,2023-12-24 00:00:00,64,Paper,98.776,24.694,Completed
268,2023-04-21 00:00:00,3,Metal,281.032,70.258,Rejected
269,2023-10-11 00:00:00,73,Organic,333.104,83.276,Completed
270,2024-01-01 00:00:00,4,Organic,97.328,24.332,Pending
271,2023-06-05 00:00:00,33,Metal,292.664,73.166,Rejected
272,2023-02-11 00:00:00,96,Glass,185.208,46.302,Completed
273,2023-03-20 00:00:00,57,Plastic,315.112,78.778,Completed
274,2023-04-17 00:00:00,75,Plastic,297.944,74.486,Rejected
275,2023-09-27 00:00:00,18,Organic,224.872,56.218,Rejected
276,2023-06-30 00:00:00,69,Organic,142.376,35.594,Pending
277,2023-07-30 00:00:00,79,Glass,211.104,52.776,Rejected
278,2023-05-31 00:00:00,93,Metal,342.424,85.606,Completed
279,2023-02-22 00:00:00,10,Metal,390.544,97.636,Pending
280,2023-10-18 00:00:00,56,Metal,359.056,89.764,Completed
281,2023-08-27 00:00:00,83,Organic,133.008,33.252,Rejected
282,2023-05-30 00:00:00,29,Metal,44.008,11.002,Pending
283,2023-12-12 00:00:00,51,Paper,74.624,18.656,Pending
284,2023-02-28 00:00:00,85,Metal,375.408,93.852,Pending
285,2024-01-16 00:00:00,72,Glass,329.08,82.27,Completed
286,2023-12-22 00:00:00,36,Organic,367.952,91.988,Rejected
287,2023-12-06 00:00:00,29,Glass,332.672,83.168,Completed
288,2023-05-27 00:00:00,32,Metal,147.768,36.942,Rejected
289,2023-05-30 00:00:00,56,Glass,378.4,94.6,Completed
290,2023-12-19 00:00:00,97,Plastic,84.696,21.174,Pending
291,2023-06-13 00:00:00,99,Metal,302.032,75.508,Pending
292,2023-08-10 00:00:00,97,Glass,239.232,59.808,Pending
293,2023-01-04 00:00:00,34,Metal,166.768,41.692,Pending
294,2023-07-19 00:00:00,57,Paper,375.176,93.794,Completed
295,2023-01-23 00:00:00,91,Metal,92.992,23.248,Pending
296,2023-09-07 00:00:00,66,Glass,360.872,90.218,Rejected
297,2024-01-29 00:00:00,13,Organic,361.024,90.256,Pending
298,2023-06-12 00:00:00,89,Plastic,381.648,95.412,Completed
299,2023-05-03 00:00:00,80,Plastic,144.776,36.194,Pending
300,2023-06-05 00:00:00,86,Paper,264.504,66.126,Rejected
301,2023-07-17 00:00:00,4,Paper,112.056,28.014,Completed
302,2023-08-14 00:00:00,74,Plastic,129.456,32.364,Pending
303,2023-12-27 00:00:00,26,Paper,278.672,69.668,Pending
304,2023-05-15 00:00:00,12,Glass,391.928,97.982,Completed
305,2023-08-30 00:00:00,64,Organic,339.376,84.844,Completed
306,2023-09-06 00:00:00,56,Metal,124.256,31.064,Completed
307,2023-10-31 00:00:00,22,Organic,207.896,51.974,Completed
308,2023-03-21 00:00:00,10,Paper,101.032,25.258,Pending
309,2023-08-11 00:00:00,72,Organic,9.664,2.416,Completed
310,2024-03-23 00:00:00,56,Glass,10.568,2.642,Rejected
311,2023-08-15 00:00:00,27,Metal,367.472,91.868,Completed
312,2023-07-21 00:00:00,40,Organic,238.184,59.546,Rejected
313,2023-08-03 00:00:00,22,Metal,169.344,42.336,Completed
314,2024-01-21 00:00:00,17,Organic,32.312,8.078,Pending
315,2023-09-20 00:00:00,39,Plastic,318.488,79.622,Pending
316,2024-01-24 00:00:00,85,Glass,160.44,40.11,Rejected
317,2024-02-22 00:00:00,42,Glass,172.352,43.088,Completed
318,2023-09-04 00:00:00,66,Metal,341.104,85.276,Pending
319,2023-07-30 00:00:00,7,Paper,364.824,91.206,Rejected
320,2023-06-08 00:00:00,20,Metal,335.768,83.942,Completed
321,2023-11-06 00:00:00,75,Organic,200.088,50.022,Completed
322,2023-11-05 00:00:00,73,Organic,52.496,13.124,Rejected
323,2023-01-01 00:00:00,80,Paper,322.528,80.632,Completed
324,2023-10-09 00:00:00,50,Metal,189.896,47.474,Pending
325,2023-12-03 00:00:00,50,Paper,72.216,18.054,Pending
326,2023-01-16 00:00:00,81,Metal,208.608,52.152,Pending
327,2023-06-29 00:00:00,80,Metal,353.624,88.406,Pending
328,2024-02-22 00:00:00,62,Paper,162.68,40.67,Pending
329,2023-10-23 00:00:00,100,Glass,154.2,38.55,Rejected
330,2023-07-07 00:00:00,63,Glass,260.92,65.23,Completed
331,2024-02-12 00:00:00,57,Plastic,85.24,21.31,Completed
332,2023-01-06 00:00:00,93,Metal,87.496,21.874,Completed
333,2023-04-20 00:00:00,32,Metal,91.304,22.826,Pending
334,2023-05-01 00:00:00,65,Glass,172.568,43.142,Pending
335,2023-09-05 00:00:00,66,Metal,251.848,62.962,Pending
336,2023-08-12 00:00:00,61,Glass,351.96,87.99,Completed
337,2023-10-16 00:00:00,32,Glass,25.84,6.46,Rejected
338,2023-06-03 00:00:00,9,Metal,97.016,24.254,Pending
339,2023-04-03 00:00:00,73,Organic,395.096,98.774,Pending
340,2024-02-17 00:00:00,74,Glass,256.528,64.132,Completed
341,2023-09-20 00:00:00,40,Metal,146.032,36.508,Completed
342,2023-10-11 00:00:00,25,Organic,92.432,23.108,Completed
343,2024-01-21 00:00:00,51,Paper,326.656,81.664,Pending
344,2023-02-19 00:00:00,34,Paper,220.912,55.228,Pending
345,2024-03-09 00:00:00,54,Organic,385.176,96.294,Completed
346,2024-02-01 00:00:00,27,Glass,29.464,7.366,Pending
347,2024-01-26 00:00:00,48,Metal,226.752,56.688,Completed
348,2023-02-02 00:00:00,29,Plastic,381.416,95.354,Completed
349,2023-03-13 00:00:00,22,Organic,119.392,29.848,Completed
350,2023-05-05 00:00:00,84,Organic,22.848,5.712,Completed
351,2023-08-27 00:00:00,69,Plastic,68.344,17.086,Pending
352,2024-01-01 00:00:00,55,Organic,278.344,69.586,Completed
353,2023-06-01 00:00:00,42,Plastic,166.504,41.626,Pending
354,2023-02-20 00:00:00,82,Plastic,260.68,65.17,Rejected
355,2023-05-25 00:00:00,31,Organic,98.752,24.688,Completed
356,2023-05-15 00:00:00,81,Plastic,61.296,15.324,Rejected
357,2023-01-15 00:00:00,79,Organic,237.272,59.318,Completed
358,2023-07-23 00:00:00,7,Plastic,360.416,90.104,Pending
359,2023-04-03 00:00:00,21,Plastic,201.008,50.252,Rejected
360,2023-11-29 00:00:00,28,Metal,210.856,52.714,Pending
361,2023-10-30 00:00:00,71,Paper,248.64,62.16,Pending
362,2023-08-14 00:00:00,63,Plastic,304.528,76.132,Rejected
363,2023-01-31 00:00:00,94,Organic,149.616,37.404,Completed
364,2023-12-11 00:00:00,90,Glass,306.576,76.644,Rejected
365,2023-09-24 00:00:00,36,Paper,101.488,25.372,Completed
366,2023-06-26 00:00:00,82,Paper,231.232,57.808,Pending
367,2023-06-20 00:00:00,75,Glass,256.8,64.2,Rejected
368,2023-11-24 00:00:00,48,Glass,57.344,14.336,Rejected
369,2023-05-06 00:00:00,58,Metal,95.152,23.788,Completed
370,2023-09-07 00:00:00,73,Organic,288.552,72.138,Completed
371,2023-01-24 00:00:00,70,Organic,202.56,50.64,Rejected
372,2023-02-26 00:00:00,99,Plastic,320.192,80.048,Completed
373,2024-03-11 00:00:00,35,Organic,92.8,23.2,Pending
374,2023-10-29 00:00:00,61,Organic,34.384,8.596,Rejected
375,2023-08-14 00:00:00,20,Plastic,109.936,27.484,Rejected
376,2023-12-27 00:00:00,43,Paper,252.528,63.132,Rejected
377,2023-05-08 00:00:00,61,Paper,396.544,99.136,Completed
378,2023-08-15 00:00:00,61,Paper,222.84,55.71,Pending
379,2023-02-25 00:00:00,82,Paper,148.488,37.122,Rejected
380,2023-04-21 00:00:00,58,Organic,322.504,80.626,Completed
381,2023-04-03 00:00:00,85,Organic,299.584,74.896,Pending
382,2023-06-25 00:00:00,84,Metal,121.984,30.496,Completed
383,2023-05-31 00:00:00,18,Metal,194.184,48.546,Completed
384,2024-02-17 00:00:00,21,Organic,349.4,87.35,Completed
385,2023-12-29 00:00:00,14,Metal,106.768,26.692,Pending
386,2024-03-21 00:00:00,77,Metal,312.48,78.12,Pending
387,2023-03-13 00:00:00,100,Organic,74.144,18.536,Rejected
388,2023-08-23 00:00:00,27,Plastic,157.072,39.268,Rejected
389,2024-01-02 00:00:00,7,Glass,271.76,67.94,Pending
390,2023-09-13 00:00:00,1,Organic,24.568,6.142,Rejected
391,2023-01-12 00:00:00,96,Plastic,170.416,42.604,Completed
392,2023-12-28 00:00:00,53,Paper,398.224,99.556,Pending
393,2023-10-29 00:00:00,62,Metal,134.208,33.552,Rejected
394,2023-04-28 00:00:00,28,Organic,195.064,48.766,Pending
395,2023-10-14 00:00:00,76,Organic,157.04,39.26,Rejected
396,2023-01-07 00:00:00,87,Organic,142.272,35.568,Completed
397,2023-07-20 00:00:00,1,Glass,86.368,21.592,Rejected
398,2024-02-09 00:00:00,58,Organic,244.24,61.06,Rejected
399,2023-04-05 00:00:00,35,Metal,279.544,69.886,Pending
400,2023-09-05 00:00:00,80,Plastic,248.24,62.06,Completed
401,2023-04-03 00:00:00,44,Organic,12.176,3.044,Rejected
402,2024-02-02 00:00:00,65,Paper,137.624,34.406,Pending
403,2023-11-28 00:00:00,40,Glass,253.76,63.44,Rejected
404,2023-12-08 00:00:00,10,Organic,294.896,73.724,Pending
405,2023-09-03 00:00:00,78,Paper,367.848,91.962,Rejected
406,2023-05-26 00:00:00,71,Plastic,90.176,22.544,Rejected
407,2024-01-23 00:00:00,8,Plastic,198.624,49.656,Rejected
408,2023-04-08 00:00:00,52,Plastic,372.192,93.048,Pending
409,2023-10-09 00:00:00,69,Glass,299.032,74.758,Rejected
410,2024-02-12 00:00:00,48,Metal,87.664,21.916,Completed
411,2023-11-29 00:00:00,65,Metal,397.856,99.464,Pending
412,2023-04-02 00:00:00,63,Plastic,270.304,67.576,Pending
413,2023-07-13 00:00:00,42,Organic,63.368,15.842,Completed
414,2023-03-26 00:00:00,68,Metal,253.888,63.472,Pending
415,2023-08-08 00:00:00,76,Paper,265.456,66.364,Rejected
416,2023-01-10 00:00:00,18,Metal,130.864,32.716,Completed
