inward_id,date,user_id,material_type,quantity,vendor,status
30,2023-06-26 00:00:00,57,Glass,263.09,Vendor_41,Pending
31,2023-11-16 00:00:00,100,Metal,484.78,Vendor_50,Rejected
32,2023-05-23 00:00:00,33,Organic,365.46,Vendor_36,Rejected
33,2023-01-26 00:00:00,15,Glass,69.26,Vendor_7,Rejected
34,2023-04-25 00:00:00,94,Organic,207.19,Vendor_30,Completed
35,2024-02-28 00:00:00,73,Paper,340.57,Vendor_24,Completed
36,2023-12-29 00:00:00,28,Metal,474.88,Vendor_24,Pending
37,2023-08-31 00:00:00,17,Organic,403.7,Vendor_20,Pending
38,2023-09-09 00:00:00,99,Metal,119.93,Vendor_48,Completed
39,2023-10-18 00:00:00,57,Paper,130.62,Vendor_11,Rejected
40,2023-07-30 00:00:00,77,Plastic,345.68,Vendor_35,Completed
41,2023-04-07 00:00:00,48,Organic,145.09,Vendor_10,Completed
42,2023-02-27 00:00:00,99,Metal,326.41,Vendor_31,Completed
43,2023-04-14 00:00:00,72,Metal,424.14,Vendor_22,Pending
44,2023-04-21 00:00:00,15,Metal,466.82,Vendor_9,Completed
45,2023-10-26 00:00:00,7,Paper,261.71,Vendor_9,Completed
46,2023-02-02 00:00:00,39,Metal,311.18,Vendor_11,Rejected
47,2023-08-10 00:00:00,62,Glass,54.28,Vendor_36,Completed
48,2023-12-29 00:00:00,10,Metal,177.07,Vendor_48,Pending
49,2023-03-23 00:00:00,45,Glass,209.12,Vendor_37,Pending
50,2023-04-01 00:00:00,96,Organic,298.49,Vendor_39,Pending
51,2023-10-25 00:00:00,44,Metal,142.93,Vendor_10,Completed
52,2023-05-07 00:00:00,55,Metal,461.6,Vendor_15,Rejected
53,2023-02-13 00:00:00,2,Glass,206.89,Vendor_15,Completed
54,2023-05-17 00:00:00,15,Glass,404.23,Vendor_27,Rejected
55,2024-01-22 00:00:00,98,Plastic,333.61,Vendor_18,Rejected
56,2023-08-14 00:00:00,60,Organic,406.88,Vendor_29,Completed
57,2023-07-25 00:00:00,68,Glass,312.01,Vendor_10,Rejected
58,2023-12-06 00:00:00,94,Paper,129.67,Vendor_8,Pending
59,2024-02-24 00:00:00,1,Metal,429.37,Vendor_29,Completed
60,2023-12-10 00:00:00,76,Organic,206.08,Vendor_26,Completed
61,2023-05-31 00:00:00,38,Organic,398.6,Vendor_33,Rejected
62,2024-01-10 00:00:00,7,Plastic,140.92,Vendor_2,Rejected
63,2024-02-02 00:00:00,73,Organic,32.9,Vendor_50,Completed
64,2023-11-07 00:00:00,72,Organic,202.35,Vendor_3,Pending
65,2023-10-09 00:00:00,79,Organic,218.88,Vendor_28,Pending
66,2023-11-11 00:00:00,24,Paper,314.82,Vendor_8,Completed
67,2023-06-11 00:00:00,29,Organic,238.14,Vendor_33,Completed
68,2024-01-07 00:00:00,41,Metal,183.35,Vendor_2,Completed
69,2024-02-25 00:00:00,12,Plastic,187.25,Vendor_19,Pending
70,2023-03-08 00:00:00,17,Glass,194.57,Vendor_17,Completed
71,2023-02-23 00:00:00,2,Metal,44.59,Vendor_27,Completed
72,2023-04-08 00:00:00,12,Paper,18.58,Vendor_17,Pending
73,2023-10-29 00:00:00,23,Glass,142.46,Vendor_23,Rejected
74,2023-12-05 00:00:00,58,Plastic,259.63,Vendor_46,Completed
75,2023-01-16 00:00:00,79,Glass,465.54,Vendor_30,Pending
76,2023-08-22 00:00:00,24,Paper,322.04,Vendor_6,Rejected
77,2023-03-29 00:00:00,14,Glass,213.55,Vendor_44,Completed
78,2023-05-15 00:00:00,93,Glass,84.58,Vendor_15,Completed
79,2024-01-31 00:00:00,89,Organic,325.21,Vendor_12,Pending
80,2023-01-19 00:00:00,75,Paper,426.86,Vendor_2,Completed
81,2023-07-17 00:00:00,16,Organic,326.75,Vendor_2,Pending
82,2023-03-15 00:00:00,35,Metal,431.08,Vendor_38,Completed
83,2023-08-02 00:00:00,98,Metal,239.46,Vendor_49,Pending
84,2023-12-20 00:00:00,5,Paper,27.07,Vendor_1,Completed
85,2023-07-16 00:00:00,41,Organic,33.89,Vendor_25,Rejected
86,2023-09-23 00:00:00,82,Metal,310.67,Vendor_34,Pending
87,2023-04-23 00:00:00,77,Plastic,341.85,Vendor_19,Pending
88,2024-01-02 00:00:00,40,Plastic,32.02,Vendor_28,Rejected
89,2023-10-09 00:00:00,37,Paper,459.36,Vendor_35,Completed
90,2024-01-26 00:00:00,53,Glass,455.29,Vendor_14,Rejected
91,2023-08-01 00:00:00,29,Paper,163.78,Vendor_26,Rejected
92,2023-10-01 00:00:00,28,Paper,253.1,Vendor_37,Completed
93,2024-02-27 00:00:00,77,Paper,291.02,Vendor_10,Completed
94,2024-01-11 00:00:00,56,Metal,336.93,Vendor_32,Rejected
95,2024-03-16 00:00:00,15,Paper,160.72,Vendor_7,Pending
96,2023-11-10 00:00:00,83,Plastic,113.28,Vendor_8,Rejected
97,2023-07-13 00:00:00,73,Glass,211.83,Vendor_44,Pending
98,2024-01-21 00:00:00,15,Paper,120.3,Vendor_36,Completed
99,2023-11-06 00:00:00,63,Glass,457.86,Vendor_32,Rejected
100,2023-09-20 00:00:00,100,Glass,55.17,Vendor_5,Rejected
101,2023-07-09 00:00:00,22,Glass,233.17,Vendor_48,Pending
102,2024-02-12 00:00:00,27,Paper,312.97,Vendor_13,Pending
103,2023-05-27 00:00:00,43,Glass,210.5,Vendor_26,Rejected
104,2023-07-21 00:00:00,68,Glass,35.77,Vendor_41,Rejected
105,2023-04-26 00:00:00,43,Metal,173.91,Vendor_15,Rejected
106,2023-04-27 00:00:00,10,Plastic,55.54,Vendor_21,Rejected
107,2023-04-18 00:00:00,6,Glass,404.53,Vendor_28,Rejected
108,2023-04-09 00:00:00,19,Organic,426.05,Vendor_37,Rejected
109,2023-10-30 00:00:00,12,Metal,239.33,Vendor_9,Pending
110,2023-10-02 00:00:00,20,Paper,48.3,Vendor_50,Rejected
111,2023-05-23 00:00:00,14,Organic,150.59,Vendor_28,Completed
112,2023-10-18 00:00:00,1,Organic,343.36,Vendor_9,Pending
113,2023-01-24 00:00:00,9,Organic,295.72,Vendor_35,Rejected
114,2023-07-02 00:00:00,92,Organic,34.06,Vendor_40,Completed
115,2023-06-25 00:00:00,66,Plastic,231.84,Vendor_41,Rejected
116,2023-11-20 00:00:00,75,Paper,133.36,Vendor_31,Pending
117,2023-01-23 00:00:00,75,Organic,219.02,Vendor_15,Completed
118,2023-02-08 00:00:00,83,Plastic,496.3,Vendor_2,Pending
119,2023-10-15 00:00:00,46,Metal,85.48,Vendor_36,Rejected
120,2023-06-30 00:00:00,54,Paper,75.57,Vendor_37,Rejected
121,2023-09-01 00:00:00,95,Metal,219.19,Vendor_42,Pending
122,2023-02-22 00:00:00,61,Organic,62.91,Vendor_49,Completed
123,2023-10-28 00:00:00,100,Metal,289.86,Vendor_18,Rejected
124,2024-03-22 00:00:00,1,Organic,284.44,Vendor_46,Pending
125,2023-12-22 00:00:00,63,Glass,441.82,Vendor_23,Pending
126,2023-10-08 00:00:00,83,Glass,156.13,Vendor_27,Rejected
127,2023-08-21 00:00:00,75,Metal,123.44,Vendor_28,Pending
128,2023-11-09 00:00:00,38,Glass,481.31,Vendor_19,Pending
129,2023-10-29 00:00:00,2,Metal,85.06,Vendor_42,Pending
130,2023-08-04 00:00:00,65,Glass,111.63,Vendor_18,Pending
131,2024-02-09 00:00:00,18,Organic,247.78,Vendor_13,Completed
132,2023-01-08 00:00:00,45,Organic,422.35,Vendor_27,Pending
133,2023-12-09 00:00:00,70,Plastic,422.18,Vendor_7,Rejected
134,2023-09-11 00:00:00,24,Plastic,211.92,Vendor_26,Rejected
135,2024-01-28 00:00:00,54,Glass,409.08,Vendor_19,Completed
136,2024-03-13 00:00:00,30,Organic,215.94,Vendor_31,Pending
137,2023-11-06 00:00:00,10,Plastic,194.51,Vendor_23,Completed
138,2023-03-13 00:00:00,83,Organic,254.59,Vendor_30,Pending
139,2023-09-29 00:00:00,65,Organic,17.15,Vendor_41,Completed
140,2023-12-19 00:00:00,34,Glass,259.24,Vendor_42,Rejected
141,2023-08-13 00:00:00,79,Glass,18.15,Vendor_27,Rejected
142,2024-01-29 00:00:00,37,Organic,423.24,Vendor_22,Completed
143,2023-11-19 00:00:00,65,Paper,66.14,Vendor_23,Rejected
144,2024-03-06 00:00:00,39,Metal,245.57,Vendor_35,Completed
145,2023-05-16 00:00:00,96,Metal,217.27,Vendor_37,Completed
146,2023-10-07 00:00:00,62,Metal,224.1,Vendor_4,Completed
147,2023-12-20 00:00:00,66,Organic,172.71,Vendor_28,Rejected
148,2023-01-30 00:00:00,90,Organic,31.41,Vendor_11,Completed
149,2023-11-15 00:00:00,87,Paper,11.99,Vendor_41,Rejected
150,2023-09-05 00:00:00,86,Plastic,271.93,Vendor_41,Completed
151,2023-10-01 00:00:00,72,Metal,190.4,Vendor_3,Rejected
152,2023-08-25 00:00:00,45,Glass,176.04,Vendor_21,Pending
153,2023-03-02 00:00:00,8,Paper,473.76,Vendor_17,Rejected
154,2023-09-07 00:00:00,66,Glass,276.36,Vendor_26,Pending
155,2023-12-29 00:00:00,93,Metal,40.16,Vendor_17,Rejected
156,2023-10-16 00:00:00,18,Metal,360.25,Vendor_7,Completed
157,2023-06-21 00:00:00,43,Metal,448.14,Vendor_2,Pending
158,2023-09-24 00:00:00,92,Organic,404.89,Vendor_43,Pending
159,2024-02-09 00:00:00,13,Plastic,128.72,Vendor_43,Rejected
160,2024-03-24 00:00:00,4,Paper,486.63,Vendor_8,Rejected
161,2023-04-13 00:00:00,100,Organic,388.48,Vendor_10,Rejected
162,2023-10-07 00:00:00,29,Organic,499.5,Vendor_30,Rejected
163,2023-08-09 00:00:00,9,Paper,330.5,Vendor_28,Rejected
164,2023-01-13 00:00:00,21,Organic,296.34,Vendor_23,Rejected
165,2024-01-13 00:00:00,97,Plastic,368.44,Vendor_40,Completed
166,2023-11-07 00:00:00,87,Glass,169.55,Vendor_35,Rejected
167,2023-11-15 00:00:00,68,Plastic,489.51,Vendor_10,Rejected
168,2023-01-06 00:00:00,83,Paper,436.07,Vendor_40,Pending
169,2023-03-28 00:00:00,13,Glass,459.22,Vendor_22,Completed
170,2023-03-22 00:00:00,28,Metal,481.07,Vendor_25,Rejected
171,2023-06-23 00:00:00,31,Plastic,89.65,Vendor_38,Pending
172,2023-03-09 00:00:00,16,Metal,344.38,Vendor_44,Completed
173,2023-04-15 00:00:00,38,Glass,301.61,Vendor_32,Completed
174,2024-01-30 00:00:00,2,Metal,196.51,Vendor_37,Completed
175,2023-02-17 00:00:00,83,Organic,26.39,Vendor_31,Completed
176,2023-01-18 00:00:00,87,Organic,26.15,Vendor_37,Completed
177,2023-03-22 00:00:00,45,Plastic,412.77,Vendor_5,Pending
178,2023-05-21 00:00:00,48,Plastic,167.14,Vendor_3,Completed
179,2023-11-18 00:00:00,77,Plastic,483.62,Vendor_41,Rejected
180,2023-09-10 00:00:00,9,Metal,486.4,Vendor_43,Pending
181,2023-03-29 00:00:00,61,Paper,197.2,Vendor_38,Pending
182,2023-12-12 00:00:00,34,Paper,486.59,Vendor_48,Completed
183,2024-03-08 00:00:00,11,Metal,382.32,Vendor_12,Completed
184,2023-05-05 00:00:00,50,Glass,211.64,Vendor_27,Completed
185,2023-12-03 00:00:00,75,Paper,249.17,Vendor_2,Pending
186,2023-12-21 00:00:00,65,Glass,283.96,Vendor_42,Completed
187,2024-02-18 00:00:00,15,Paper,398.12,Vendor_35,Pending
188,2024-02-28 00:00:00,56,Glass,274.21,Vendor_31,Rejected
189,2023-05-06 00:00:00,84,Metal,112.96,Vendor_16,Completed
190,2023-05-20 00:00:00,87,Paper,140.07,Vendor_39,Rejected
191,2023-01-09 00:00:00,1,Glass,329.97,Vendor_1,Rejected
192,2023-04-25 00:00:00,13,Organic,262.69,Vendor_45,Completed
193,2023-02-26 00:00:00,18,Paper,299.31,Vendor_15,Rejected
194,2023-03-15 00:00:00,81,Organic,79.7,Vendor_18,Completed
195,2023-01-26 00:00:00,12,Metal,157.58,Vendor_11,Completed
196,2023-03-31 00:00:00,66,Organic,41.51,Vendor_36,Rejected
197,2024-01-30 00:00:00,69,Plastic,180.04,Vendor_12,Pending
198,2023-10-09 00:00:00,74,Glass,405.88,Vendor_11,Pending
199,2024-02-05 00:00:00,4,Paper,450.37,Vendor_25,Rejected
200,2024-03-17 00:00:00,17,Organic,461.46,Vendor_8,Completed
201,2023-08-12 00:00:00,19,Organic,378.21,Vendor_18,Rejected
202,2024-02-15 00:00:00,90,Plastic,76.49,Vendor_38,Pending
203,2024-02-20 00:00:00,42,Organic,228.16,Vendor_43,Completed
204,2023-02-13 00:00:00,13,Plastic,485.71,Vendor_16,Rejected
205,2023-05-02 00:00:00,49,Metal,395.69,Vendor_34,Completed
206,2023-06-03 00:00:00,95,Organic,390.19,Vendor_45,Pending
207,2023-05-14 00:00:00,1,Plastic,343.33,Vendor_31,Rejected
208,2023-10-10 00:00:00,13,Paper,281.26,Vendor_3,Completed
209,2023-04-18 00:00:00,95,Metal,458.77,Vendor_35,Pending
210,2023-11-14 00:00:00,85,Plastic,149.17,Vendor_30,Pending
211,2023-03-11 00:00:00,75,Paper,48.19,Vendor_11,Pending
212,2023-01-29 00:00:00,77,Metal,206.86,Vendor_47,Completed
213,2023-06-09 00:00:00,74,Glass,102.98,Vendor_18,Completed
214,2024-02-02 00:00:00,56,Glass,11.21,Vendor_47,Pending
215,2023-03-27 00:00:00,6,Glass,199.27,Vendor_15,Completed
216,2024-01-11 00:00:00,45,Paper,490.31,Vendor_49,Completed
217,2023-06-25 00:00:00,55,Plastic,95.64,Vendor_7,Completed
218,2023-03-24 00:00:00,46,Plastic,36.89,Vendor_39,Completed
219,2023-10-17 00:00:00,19,Organic,255.89,Vendor_9,Completed
220,2023-04-25 00:00:00,50,Plastic,261.97,Vendor_21,Pending
221,2023-02-07 00:00:00,29,Plastic,113.95,Vendor_3,Completed
222,2023-08-07 00:00:00,59,Metal,294.44,Vendor_25,Pending
223,2023-06-28 00:00:00,12,Glass,79.76,Vendor_41,Completed
224,2023-10-30 00:00:00,69,Glass,321.56,Vendor_43,Completed
225,2023-12-13 00:00:00,94,Metal,380.65,Vendor_15,Rejected
226,2023-04-28 00:00:00,82,Organic,370.12,Vendor_2,Rejected
227,2023-01-01 00:00:00,78,Glass,23.28,Vendor_46,Rejected
228,2023-06-09 00:00:00,80,Organic,388.99,Vendor_18,Completed
229,2023-11-04 00:00:00,15,Glass,402.09,Vendor_35,Completed
230,2023-03-13 00:00:00,35,Metal,353.91,Vendor_19,Pending
231,2023-07-16 00:00:00,49,Paper,206.78,Vendor_29,Pending
232,2023-08-30 00:00:00,43,Glass,317.86,Vendor_50,Rejected
233,2023-02-10 00:00:00,99,Metal,320.74,Vendor_39,Completed
234,2023-04-09 00:00:00,100,Plastic,410.15,Vendor_23,Pending
235,2023-02-21 00:00:00,80,Glass,185.91,Vendor_21,Pending
236,2023-01-12 00:00:00,32,Metal,360.04,Vendor_44,Pending
237,2024-03-10 00:00:00,95,Organic,416.07,Vendor_45,Rejected
238,2024-02-11 00:00:00,88,Plastic,467.86,Vendor_50,Pending
239,2024-03-26 00:00:00,20,Metal,483.8,Vendor_23,Rejected
240,2023-10-28 00:00:00,40,Metal,116.15,Vendor_15,Rejected
241,2023-02-10 00:00:00,94,Organic,97.46,Vendor_38,Rejected
242,2024-01-12 00:00:00,5,Paper,160.48,Vendor_25,Pending
243,2023-10-14 00:00:00,66,Plastic,383.83,Vendor_20,Rejected
244,2023-07-11 00:00:00,50,Organic,64.58,Vendor_15,Rejected
245,2023-08-27 00:00:00,44,Plastic,382.27,Vendor_13,Rejected
246,2023-06-08 00:00:00,74,Glass,313.79,Vendor_17,Rejected
247,2023-03-29 00:00:00,30,Glass,266.74,Vendor_28,Completed
248,2023-08-02 00:00:00,7,Glass,380.77,Vendor_27,Rejected
249,2023-07-18 00:00:00,34,Plastic,78.75,Vendor_15,Completed
250,2023-04-22 00:00:00,43,Metal,405.89,Vendor_15,Rejected
251,2023-06-09 00:00:00,8,Organic,477.29,Vendor_13,Rejected
252,2024-02-01 00:00:00,95,Organic,415.37,Vendor_11,Completed
253,2023-07-10 00:00:00,91,Organic,430.59,Vendor_48,Pending
254,2023-08-22 00:00:00,9,Organic,485.78,Vendor_17,Pending
255,2023-11-01 00:00:00,91,Plastic,440.42,Vendor_12,Completed
256,2023-02-10 00:00:00,8,Organic,379.72,Vendor_3,Rejected
257,2023-10-02 00:00:00,68,Glass,150.93,Vendor_40,Pending
258,2023-03-07 00:00:00,69,Plastic,31.49,Vendor_9,Pending
259,2023-04-22 00:00:00,74,Metal,138.74,Vendor_34,Rejected
260,2023-09-21 00:00:00,37,Paper,244.93,Vendor_2,Completed
261,2024-02-06 00:00:00,7,Organic,388.59,Vendor_25,Pending
262,2024-01-28 00:00:00,64,Metal,278.53,Vendor_40,Pending
263,2023-06-20 00:00:00,9,Organic,206.63,Vendor_10,Pending
264,2023-02-05 00:00:00,8,Organic,70.91,Vendor_48,Completed
265,2023-07-10 00:00:00,50,Plastic,409.18,Vendor_12,Pending
266,2023-11-18 00:00:00,69,Plastic,89.05,Vendor_18,Rejected
267,2023-03-28 00:00:00,31,Plastic,32.34,Vendor_40,Pending
268,2023-01-21 00:00:00,48,Plastic,281.69,Vendor_35,Pending
269,2023-12-09 00:00:00,79,Metal,70.27,Vendor_21,Rejected
270,2024-01-01 00:00:00,34,Paper,122.71,Vendor_8,Completed
271,2023-09-08 00:00:00,28,Metal,68.58,Vendor_42,Rejected
272,2024-02-02 00:00:00,83,Paper,436.48,Vendor_34,Completed
273,2023-02-15 00:00:00,57,Glass,499.03,Vendor_13,Pending
274,2024-02-27 00:00:00,79,Plastic,144,Vendor_17,Rejected
275,2024-03-12 00:00:00,2,Glass,404.25,Vendor_18,Completed
276,2023-08-10 00:00:00,47,Paper,180.9,Vendor_15,Completed
277,2024-02-29 00:00:00,73,Organic,304.81,Vendor_46,Rejected
278,2023-04-20 00:00:00,18,Metal,155.93,Vendor_41,Completed
279,2023-07-25 00:00:00,8,Glass,160.21,Vendor_41,Rejected
280,2023-10-13 00:00:00,3,Paper,409.22,Vendor_28,Completed
281,2023-06-30 00:00:00,86,Paper,357.32,Vendor_10,Pending
282,2023-08-25 00:00:00,30,Paper,192.11,Vendor_46,Rejected
283,2024-03-22 00:00:00,76,Metal,432.15,Vendor_50,Pending
284,2024-03-21 00:00:00,53,Metal,267.65,Vendor_20,Rejected
285,2023-09-25 00:00:00,60,Plastic,241.77,Vendor_37,Completed
286,2024-02-03 00:00:00,83,Glass,230.27,Vendor_3,Pending
287,2023-11-27 00:00:00,41,Plastic,485.76,Vendor_4,Pending
288,2023-10-01 00:00:00,77,Metal,175.59,Vendor_49,Pending
289,2023-03-05 00:00:00,50,Paper,251.81,Vendor_3,Pending
290,2024-03-11 00:00:00,41,Paper,21.5,Vendor_15,Pending
291,2023-03-17 00:00:00,42,Glass,156.09,Vendor_3,Completed
292,2023-09-29 00:00:00,44,Glass,259.47,Vendor_19,Pending
293,2023-08-14 00:00:00,95,Paper,77.98,Vendor_38,Completed
294,2024-01-18 00:00:00,82,Paper,88.34,Vendor_46,Rejected
295,2023-11-03 00:00:00,87,Metal,276.15,Vendor_10,Pending
296,2023-04-30 00:00:00,100,Plastic,272.81,Vendor_33,Pending
297,2023-11-13 00:00:00,21,Glass,232.45,Vendor_42,Rejected
298,2023-03-24 00:00:00,16,Plastic,84.97,Vendor_6,Completed
299,2023-09-29 00:00:00,78,Paper,58.83,Vendor_29,Rejected
300,2023-04-25 00:00:00,34,Organic,254.87,Vendor_4,Completed
301,2023-03-30 00:00:00,54,Glass,234.77,Vendor_45,Rejected
302,2023-10-30 00:00:00,95,Metal,336.88,Vendor_8,Completed
303,2023-09-16 00:00:00,41,Glass,406.05,Vendor_23,Completed
304,2023-10-11 00:00:00,53,Organic,220.75,Vendor_45,Rejected
305,2023-01-09 00:00:00,52,Paper,310.13,Vendor_38,Pending
306,2023-06-10 00:00:00,35,Glass,124.42,Vendor_48,Rejected
307,2023-03-10 00:00:00,54,Glass,422.76,Vendor_32,Pending
308,2023-08-19 00:00:00,95,Paper,315.19,Vendor_16,Pending
309,2023-12-21 00:00:00,65,Paper,355.87,Vendor_39,Completed
310,2023-05-14 00:00:00,58,Plastic,286.65,Vendor_38,Completed
311,2024-03-02 00:00:00,2,Paper,441.26,Vendor_19,Pending
312,2023-11-27 00:00:00,69,Metal,229.26,Vendor_16,Rejected
313,2024-02-16 00:00:00,48,Organic,74.2,Vendor_31,Pending
314,2023-01-21 00:00:00,42,Metal,163.77,Vendor_31,Pending
315,2024-02-16 00:00:00,9,Organic,345.63,Vendor_13,Completed
316,2023-08-14 00:00:00,61,Plastic,235.93,Vendor_47,Rejected
317,2023-10-26 00:00:00,40,Paper,382.59,Vendor_19,Rejected
318,2023-11-22 00:00:00,8,Glass,264.8,Vendor_50,Completed
319,2023-09-21 00:00:00,5,Plastic,494.26,Vendor_46,Pending
320,2023-06-21 00:00:00,77,Paper,358.07,Vendor_8,Rejected
321,2023-01-27 00:00:00,43,Paper,345.9,Vendor_20,Rejected
322,2023-04-03 00:00:00,20,Glass,93.46,Vendor_5,Rejected
323,2023-07-18 00:00:00,43,Paper,161.25,Vendor_42,Rejected
324,2023-11-15 00:00:00,46,Organic,235.94,Vendor_46,Rejected
325,2023-11-19 00:00:00,8,Plastic,162.96,Vendor_13,Pending
326,2023-08-02 00:00:00,71,Metal,342.06,Vendor_38,Pending
327,2023-02-01 00:00:00,41,Plastic,123.55,Vendor_11,Completed
328,2023-09-02 00:00:00,72,Plastic,145.36,Vendor_47,Completed
329,2023-09-28 00:00:00,10,Metal,247.87,Vendor_1,Pending
330,2023-07-05 00:00:00,93,Paper,109.87,Vendor_38,Pending
331,2023-08-24 00:00:00,59,Glass,247.96,Vendor_10,Completed
332,2023-04-17 00:00:00,100,Metal,480.08,Vendor_11,Completed
333,2024-02-13 00:00:00,3,Glass,244.88,Vendor_10,Pending
334,2023-07-21 00:00:00,89,Paper,346.44,Vendor_50,Rejected
335,2024-02-14 00:00:00,40,Metal,131.97,Vendor_16,Rejected
336,2023-01-25 00:00:00,22,Plastic,88.99,Vendor_39,Completed
337,2023-05-13 00:00:00,7,Glass,205.05,Vendor_2,Pending
338,2024-02-28 00:00:00,65,Plastic,284.72,Vendor_27,Pending
339,2023-08-28 00:00:00,52,Metal,224.18,Vendor_3,Completed
340,2024-02-16 00:00:00,63,Plastic,282.26,Vendor_40,Pending
341,2024-01-26 00:00:00,51,Plastic,367.85,Vendor_37,Completed
342,2023-01-01 00:00:00,100,Organic,49.98,Vendor_39,Pending
343,2023-11-29 00:00:00,50,Organic,121.05,Vendor_33,Pending
344,2023-09-15 00:00:00,86,Paper,215.11,Vendor_13,Rejected
345,2023-11-19 00:00:00,53,Metal,433.85,Vendor_6,Completed
346,2023-09-18 00:00:00,78,Glass,135.1,Vendor_8,Completed
347,2023-11-09 00:00:00,11,Organic,130.09,Vendor_35,Pending
348,2023-01-10 00:00:00,85,Organic,310.53,Vendor_24,Completed
349,2024-01-24 00:00:00,15,Paper,301.74,Vendor_41,Rejected
350,2023-01-19 00:00:00,45,Organic,37.04,Vendor_21,Completed
351,2023-04-13 00:00:00,28,Glass,442.97,Vendor_10,Completed
352,2023-11-28 00:00:00,31,Organic,490.51,Vendor_43,Rejected
353,2023-03-07 00:00:00,52,Glass,196.1,Vendor_2,Rejected
354,2024-01-16 00:00:00,11,Metal,494.02,Vendor_44,Completed
355,2024-03-12 00:00:00,87,Organic,451.26,Vendor_1,Completed
356,2023-08-23 00:00:00,18,Metal,342.16,Vendor_41,Completed
357,2023-03-15 00:00:00,37,Paper,374.91,Vendor_37,Pending
358,2024-03-05 00:00:00,25,Plastic,109.01,Vendor_45,Completed
359,2023-07-22 00:00:00,46,Organic,153.8,Vendor_30,Completed
360,2023-08-18 00:00:00,39,Metal,306.92,Vendor_16,Pending
361,2023-11-20 00:00:00,97,Paper,80.55,Vendor_27,Rejected
362,2023-04-20 00:00:00,20,Metal,106.11,Vendor_37,Rejected
363,2024-03-24 00:00:00,10,Paper,460.09,Vendor_30,Pending
364,2023-11-17 00:00:00,55,Metal,340.74,Vendor_4,Completed
365,2023-02-01 00:00:00,89,Metal,340.72,Vendor_26,Pending
366,2023-09-22 00:00:00,2,Glass,342.72,Vendor_15,Pending
367,2023-02-25 00:00:00,9,Plastic,103.73,Vendor_43,Rejected
368,2023-03-08 00:00:00,8,Plastic,396.71,Vendor_32,Pending
369,2023-10-27 00:00:00,56,Glass,427.78,Vendor_24,Completed
370,2023-02-13 00:00:00,19,Glass,312.95,Vendor_46,Rejected
371,2024-03-01 00:00:00,77,Organic,293.57,Vendor_9,Rejected
372,2024-03-05 00:00:00,20,Organic,252.17,Vendor_31,Rejected
373,2023-01-14 00:00:00,9,Metal,58.6,Vendor_23,Pending
374,2023-08-11 00:00:00,37,Metal,479.22,Vendor_42,Completed
375,2024-02-21 00:00:00,98,Paper,31.73,Vendor_18,Pending
376,2023-03-21 00:00:00,20,Glass,490.7,Vendor_12,Completed
377,2023-01-08 00:00:00,48,Organic,362.93,Vendor_38,Completed
378,2024-02-18 00:00:00,60,Plastic,15.01,Vendor_37,Completed
379,2023-08-23 00:00:00,73,Organic,385.5,Vendor_17,Pending
380,2023-11-28 00:00:00,21,Paper,264.7,Vendor_34,Pending
381,2023-06-08 00:00:00,53,Paper,223.57,Vendor_22,Rejected
382,2023-03-22 00:00:00,46,Paper,167.01,Vendor_17,Completed
