baling_id,date,user_id,material_type,baled_qty,status
73,2023-08-03 00:00:00,8,Plastic,308.988,Completed
74,2023-12-14 00:00:00,4,Organic,414.693,Completed
75,2023-08-18 00:00:00,19,Plastic,300.933,Rejected
76,2024-03-14 00:00:00,65,Plastic,433.008,Pending
77,2023-09-14 00:00:00,9,Paper,268.551,Completed
78,2023-08-21 00:00:00,14,Glass,383.868,Pending
79,2024-03-03 00:00:00,72,Paper,162.612,Completed
80,2023-07-18 00:00:00,92,Plastic,109.188,Completed
81,2023-09-05 00:00:00,14,Glass,328.626,Completed
82,2023-01-28 00:00:00,50,Plastic,86.634,Rejected
83,2023-01-21 00:00:00,21,Metal,427.59,Pending
84,2023-06-05 00:00:00,84,Paper,426.159,Pending
85,2023-12-23 00:00:00,72,Metal,392.229,Completed
86,2023-09-21 00:00:00,100,Glass,176.454,Completed
87,2023-01-22 00:00:00,32,Glass,374.085,Completed
88,2024-02-24 00:00:00,15,Plastic,113.013,Completed
89,2023-12-11 00:00:00,97,Plastic,75.366,Completed
90,2023-08-16 00:00:00,15,Plastic,267.777,Pending
91,2023-10-20 00:00:00,80,Glass,267.894,Pending
92,2023-05-06 00:00:00,46,Organic,404.703,Rejected
93,2023-01-22 00:00:00,78,Glass,271.872,Pending
94,2023-05-02 00:00:00,100,Organic,192.942,Rejected
95,2023-02-09 00:00:00,95,Glass,73.62,Rejected
96,2023-02-10 00:00:00,55,Paper,77.661,Completed
97,2023-11-25 00:00:00,79,Organic,217.728,Pending
98,2023-01-27 00:00:00,12,Metal,186.705,Completed
99,2023-07-15 00:00:00,74,Glass,32.328,Completed
100,2023-01-24 00:00:00,11,Plastic,373.572,Completed
101,2023-02-28 00:00:00,68,Metal,313.488,Completed
102,2023-05-10 00:00:00,88,Organic,36.693,Pending
103,2024-02-21 00:00:00,79,Glass,324.477,Pending
104,2023-07-30 00:00:00,22,Glass,357.966,Completed
105,2024-02-25 00:00:00,58,Metal,220.032,Pending
106,2023-10-17 00:00:00,27,Organic,312.012,Completed
107,2023-09-12 00:00:00,67,Organic,293.13,Completed
108,2023-03-13 00:00:00,12,Metal,288.567,Rejected
109,2023-01-25 00:00:00,53,Plastic,311.319,Rejected
110,2023-07-26 00:00:00,93,Metal,154.944,Completed
111,2023-07-06 00:00:00,93,Metal,434.574,Completed
112,2023-10-22 00:00:00,61,Glass,382.563,Pending
113,2023-10-02 00:00:00,34,Organic,414.585,Completed
114,2023-11-29 00:00:00,77,Paper,331.362,Pending
115,2023-04-13 00:00:00,14,Paper,116.046,Rejected
116,2023-06-09 00:00:00,30,Metal,195.183,Completed
117,2023-09-25 00:00:00,11,Paper,184.518,Completed
118,2024-01-24 00:00:00,24,Metal,373.248,Completed
119,2023-04-24 00:00:00,96,Metal,355.473,Rejected
120,2023-11-16 00:00:00,66,Plastic,19.053,Pending
121,2023-12-20 00:00:00,57,Organic,141.183,Rejected
122,2023-07-19 00:00:00,90,Metal,78.201,Completed
123,2023-08-09 00:00:00,63,Plastic,122.787,Completed
124,2023-09-05 00:00:00,98,Metal,336.366,Completed
125,2023-05-08 00:00:00,62,Plastic,81.927,Completed
126,2023-03-16 00:00:00,71,Plastic,356.976,Rejected
127,2023-01-19 00:00:00,61,Organic,356.661,Pending
128,2023-11-23 00:00:00,44,Metal,160.74,Pending
129,2023-02-22 00:00:00,70,Organic,268.794,Pending
130,2023-10-09 00:00:00,43,Organic,130.761,Completed
131,2023-10-17 00:00:00,98,Plastic,266.886,Completed
132,2023-04-01 00:00:00,7,Glass,417.753,Pending
133,2023-08-06 00:00:00,87,Paper,349.2,Completed
134,2023-04-02 00:00:00,56,Metal,334.377,Pending
135,2023-03-19 00:00:00,77,Organic,112.176,Pending
136,2023-06-04 00:00:00,42,Paper,160.524,Rejected
137,2024-02-09 00:00:00,41,Metal,95.04,Rejected
138,2024-02-22 00:00:00,61,Metal,97.956,Rejected
139,2024-01-06 00:00:00,67,Paper,435.438,Pending
140,2023-07-05 00:00:00,40,Plastic,357.795,Completed
141,2023-06-27 00:00:00,76,Glass,148.104,Pending
142,2023-09-01 00:00:00,81,Paper,399.537,Completed
143,2023-03-24 00:00:00,59,Plastic,163.872,Pending
144,2023-08-18 00:00:00,86,Plastic,346.158,Rejected
145,2023-06-02 00:00:00,97,Glass,94.068,Rejected
146,2023-12-30 00:00:00,65,Plastic,357.831,Rejected
147,2024-03-24 00:00:00,65,Metal,393.543,Pending
148,2023-07-02 00:00:00,48,Metal,206.109,Completed
149,2023-04-26 00:00:00,53,Metal,442.53,Rejected
150,2023-03-01 00:00:00,28,Glass,102.6,Rejected
151,2023-06-10 00:00:00,31,Glass,238.95,Rejected
152,2023-04-15 00:00:00,98,Plastic,391.95,Rejected
153,2023-04-03 00:00:00,20,Paper,20.655,Completed
154,2023-03-10 00:00:00,67,Glass,46.008,Pending
155,2024-02-13 00:00:00,62,Paper,445.293,Pending
156,2023-02-10 00:00:00,3,Plastic,54.36,Pending
157,2023-10-30 00:00:00,52,Plastic,264.726,Pending
158,2023-05-24 00:00:00,78,Plastic,242.082,Rejected
159,2024-01-04 00:00:00,42,Metal,389.574,Rejected
160,2024-01-07 00:00:00,54,Plastic,101.115,Rejected
161,2023-06-17 00:00:00,25,Organic,145.026,Rejected
162,2023-06-07 00:00:00,37,Glass,194.121,Completed
163,2023-12-06 00:00:00,51,Organic,423.999,Completed
164,2023-04-09 00:00:00,50,Metal,65.349,Rejected
165,2023-03-06 00:00:00,73,Glass,37.656,Completed
166,2023-08-07 00:00:00,25,Paper,242.424,Completed
167,2023-04-18 00:00:00,53,Metal,78.786,Completed
168,2023-12-11 00:00:00,88,Metal,298.17,Completed
169,2023-08-22 00:00:00,5,Organic,304.65,Completed
170,2023-02-18 00:00:00,14,Organic,325.611,Completed
171,2023-02-12 00:00:00,97,Paper,296.172,Rejected
172,2024-01-23 00:00:00,74,Metal,403.227,Pending
173,2023-02-14 00:00:00,41,Glass,81.315,Rejected
174,2023-08-02 00:00:00,62,Paper,362.133,Rejected
175,2023-05-22 00:00:00,32,Paper,192.717,Rejected
176,2023-02-18 00:00:00,24,Glass,93.915,Completed
177,2023-04-11 00:00:00,59,Plastic,329.301,Rejected
178,2024-02-25 00:00:00,83,Organic,161.361,Rejected
179,2023-02-19 00:00:00,50,Organic,58.293,Completed
180,2023-09-05 00:00:00,28,Glass,129.015,Completed
181,2023-11-22 00:00:00,64,Metal,62.082,Rejected
182,2023-07-15 00:00:00,53,Metal,241.668,Rejected
183,2023-10-30 00:00:00,62,Organic,165.906,Pending
184,2023-05-01 00:00:00,4,Metal,209.916,Completed
185,2024-02-24 00:00:00,47,Metal,227.844,Rejected
186,2023-09-26 00:00:00,20,Paper,315.702,Pending
187,2024-01-23 00:00:00,62,Plastic,213.597,Completed
188,2023-01-04 00:00:00,71,Plastic,63.108,Pending
189,2023-09-16 00:00:00,64,Organic,362.169,Rejected
190,2023-11-14 00:00:00,77,Glass,377.604,Rejected
191,2024-02-01 00:00:00,92,Plastic,20.07,Pending
192,2023-07-04 00:00:00,9,Organic,324.585,Pending
193,2023-04-29 00:00:00,23,Plastic,110.79,Rejected
194,2023-07-20 00:00:00,44,Metal,29.34,Completed
195,2023-05-24 00:00:00,73,Metal,181.242,Completed
196,2023-10-26 00:00:00,67,Metal,242.424,Completed
197,2023-04-20 00:00:00,3,Glass,22.23,Completed
198,2023-11-11 00:00:00,48,Metal,420.615,Pending
199,2023-08-21 00:00:00,84,Plastic,128.286,Completed
200,2024-03-11 00:00:00,49,Metal,86.607,Rejected
201,2023-08-26 00:00:00,99,Metal,267.417,Rejected
202,2023-05-26 00:00:00,5,Plastic,441,Pending
203,2023-04-03 00:00:00,60,Glass,99.099,Rejected
204,2023-02-11 00:00:00,35,Plastic,404.127,Pending
205,2023-02-20 00:00:00,39,Paper,164.304,Rejected
206,2024-03-07 00:00:00,69,Plastic,266.742,Completed
207,2023-11-20 00:00:00,70,Organic,52.767,Pending
208,2024-02-27 00:00:00,72,Paper,230.805,Rejected
209,2023-01-04 00:00:00,15,Organic,41.085,Pending
210,2023-02-01 00:00:00,72,Organic,408.276,Completed
211,2023-08-12 00:00:00,62,Metal,89.505,Completed
212,2023-10-19 00:00:00,17,Organic,448.317,Completed
213,2023-12-01 00:00:00,87,Plastic,100.764,Completed
214,2023-10-06 00:00:00,69,Metal,147.798,Pending
215,2023-08-26 00:00:00,81,Plastic,62.181,Completed
216,2024-03-14 00:00:00,51,Paper,9.882,Pending
217,2023-09-19 00:00:00,68,Paper,440.091,Completed
218,2024-01-31 00:00:00,70,Plastic,20.943,Completed
219,2023-01-28 00:00:00,69,Metal,167.76,Completed
220,2023-04-09 00:00:00,15,Organic,259.794,Completed
221,2023-04-23 00:00:00,73,Plastic,257.229,Completed
222,2023-05-20 00:00:00,86,Glass,230.418,Pending
223,2023-05-05 00:00:00,33,Paper,74.943,Completed
224,2023-04-19 00:00:00,17,Organic,136.503,Completed
225,2023-01-26 00:00:00,80,Paper,67.959,Rejected
226,2024-03-16 00:00:00,60,Plastic,116.874,Pending
227,2023-03-09 00:00:00,100,Glass,277.398,Completed
228,2024-02-06 00:00:00,71,Paper,140.058,Pending
229,2024-02-22 00:00:00,62,Paper,184.104,Pending
230,2023-06-25 00:00:00,57,Glass,106.596,Completed
231,2023-10-29 00:00:00,90,Glass,299.385,Completed
232,2023-04-12 00:00:00,67,Organic,162.135,Completed
233,2023-11-17 00:00:00,86,Organic,263.097,Rejected
234,2023-07-20 00:00:00,51,Metal,123.75,Rejected
235,2023-06-21 00:00:00,88,Metal,214.803,Pending
236,2024-03-02 00:00:00,90,Paper,13.14,Completed
237,2024-01-12 00:00:00,84,Organic,328.401,Completed
238,2023-05-04 00:00:00,5,Plastic,447.237,Pending
239,2023-11-09 00:00:00,17,Organic,13.509,Pending
240,2024-01-25 00:00:00,29,Plastic,347.904,Completed
241,2023-06-20 00:00:00,77,Metal,274.968,Rejected
242,2023-04-29 00:00:00,93,Paper,102.915,Completed
243,2024-02-16 00:00:00,27,Metal,285.03,Completed
244,2023-12-26 00:00:00,88,Organic,98.937,Completed
245,2023-11-27 00:00:00,15,Glass,392.382,Completed
246,2023-01-26 00:00:00,90,Plastic,350.19,Rejected
247,2023-03-20 00:00:00,33,Plastic,118.944,Pending
248,2023-10-15 00:00:00,87,Plastic,440.118,Rejected
249,2023-09-20 00:00:00,59,Glass,447.822,Pending
250,2023-06-15 00:00:00,70,Plastic,402.534,Completed
251,2023-12-25 00:00:00,16,Organic,122.247,Rejected
252,2023-12-17 00:00:00,39,Metal,134.586,Rejected
253,2023-04-21 00:00:00,79,Plastic,403.866,Completed
254,2023-08-05 00:00:00,56,Glass,108.378,Rejected
255,2023-02-12 00:00:00,27,Paper,383.841,Completed
256,2023-02-12 00:00:00,9,Plastic,142.299,Rejected
257,2023-08-01 00:00:00,3,Glass,78.102,Pending
258,2023-04-25 00:00:00,83,Organic,101.421,Pending
259,2023-05-22 00:00:00,67,Metal,214.956,Pending
260,2024-01-08 00:00:00,53,Paper,79.929,Rejected
261,2023-10-15 00:00:00,46,Glass,232.749,Completed
262,2023-12-17 00:00:00,24,Plastic,365.454,Pending
263,2024-02-02 00:00:00,76,Paper,91.755,Rejected
264,2023-07-02 00:00:00,16,Paper,14.247,Completed
265,2024-01-01 00:00:00,17,Organic,51.03,Pending
266,2023-11-22 00:00:00,6,Glass,251.037,Rejected
267,2024-02-07 00:00:00,93,Paper,177.921,Completed
268,2024-02-19 00:00:00,23,Glass,278.874,Completed
269,2023-04-29 00:00:00,75,Glass,204.3,Rejected
270,2023-06-02 00:00:00,23,Glass,137.403,Completed
271,2024-01-13 00:00:00,59,Plastic,118.665,Completed
272,2023-03-03 00:00:00,36,Paper,400.5,Pending
273,2024-01-18 00:00:00,16,Organic,211.788,Completed
274,2024-02-19 00:00:00,42,Plastic,79.668,Pending
275,2024-01-19 00:00:00,19,Metal,369.432,Pending
276,2023-03-28 00:00:00,23,Glass,283.617,Pending
277,2024-02-08 00:00:00,63,Plastic,177.696,Rejected
278,2024-02-05 00:00:00,17,Glass,93.744,Pending
279,2023-04-19 00:00:00,73,Glass,302.391,Pending
280,2023-04-21 00:00:00,32,Organic,415.791,Pending
281,2023-02-17 00:00:00,59,Paper,438.012,Completed
282,2024-03-17 00:00:00,96,Metal,130.824,Pending
283,2023-05-21 00:00:00,30,Metal,225.99,Pending
284,2023-11-03 00:00:00,83,Plastic,251.721,Rejected
285,2023-07-18 00:00:00,65,Paper,229.554,Rejected
286,2023-05-25 00:00:00,97,Glass,88.911,Completed
287,2023-12-26 00:00:00,99,Organic,315.306,Completed
288,2023-12-01 00:00:00,27,Glass,70.29,Rejected
289,2023-11-30 00:00:00,5,Organic,136.503,Rejected
290,2024-03-25 00:00:00,45,Plastic,449.883,Pending
291,2023-11-08 00:00:00,48,Glass,448.578,Rejected
292,2023-02-05 00:00:00,27,Plastic,374.346,Completed
293,2024-01-02 00:00:00,42,Metal,392.625,Rejected
294,2023-06-04 00:00:00,2,Plastic,336.249,Pending
295,2023-09-28 00:00:00,8,Paper,171.036,Pending
296,2023-12-20 00:00:00,26,Plastic,18.648,Completed
297,2023-01-30 00:00:00,39,Plastic,298.845,Rejected
298,2023-05-12 00:00:00,19,Plastic,432.837,Rejected
299,2024-03-13 00:00:00,38,Organic,116.568,Rejected
300,2023-08-09 00:00:00,53,Organic,235.944,Pending
301,2024-03-04 00:00:00,47,Plastic,363.753,Pending
302,2023-05-20 00:00:00,11,Organic,40.302,Rejected
303,2023-05-23 00:00:00,58,Organic,70.218,Completed
304,2023-04-26 00:00:00,95,Glass,287.694,Rejected
305,2023-11-29 00:00:00,62,Organic,66.951,Rejected
306,2023-06-06 00:00:00,90,Glass,182.943,Pending
307,2023-10-16 00:00:00,98,Plastic,60.075,Pending
308,2023-11-23 00:00:00,20,Metal,449.145,Pending
309,2023-05-27 00:00:00,80,Paper,342.567,Rejected
310,2023-03-07 00:00:00,30,Plastic,334.863,Pending
311,2023-02-26 00:00:00,8,Glass,108.702,Rejected
312,2023-11-27 00:00:00,65,Plastic,65.097,Rejected
313,2023-06-18 00:00:00,31,Paper,400.23,Completed
314,2023-10-29 00:00:00,39,Glass,405.954,Completed
315,2023-11-19 00:00:00,85,Paper,445.905,Rejected
316,2023-12-22 00:00:00,6,Plastic,446.805,Rejected
317,2024-02-20 00:00:00,77,Metal,226.953,Rejected
318,2023-07-22 00:00:00,90,Paper,444.681,Pending
319,2023-03-17 00:00:00,23,Metal,80.1,Pending
320,2024-02-17 00:00:00,26,Metal,33.903,Completed
321,2023-03-18 00:00:00,85,Glass,31.113,Pending
322,2023-03-17 00:00:00,99,Organic,173.979,Rejected
323,2023-08-01 00:00:00,34,Metal,250.164,Pending
324,2023-02-05 00:00:00,24,Plastic,87.669,Pending
325,2023-05-29 00:00:00,69,Paper,261.909,Rejected
326,2023-12-21 00:00:00,21,Paper,38.232,Rejected
327,2023-12-18 00:00:00,65,Glass,120.402,Rejected
328,2023-12-04 00:00:00,38,Organic,323.388,Rejected
329,2023-12-29 00:00:00,70,Plastic,275.508,Completed
330,2023-01-07 00:00:00,72,Glass,219.564,Completed
331,2023-09-07 00:00:00,15,Paper,102.078,Rejected
332,2023-03-15 00:00:00,41,Glass,96.273,Pending
333,2023-12-12 00:00:00,82,Plastic,294.444,Pending
334,2023-06-20 00:00:00,58,Plastic,112.275,Completed
335,2023-08-12 00:00:00,51,Paper,382.914,Pending
336,2023-05-04 00:00:00,79,Paper,402.156,Completed
337,2023-08-02 00:00:00,92,Organic,279.414,Pending
338,2023-04-01 00:00:00,1,Metal,253.35,Completed
339,2024-01-02 00:00:00,9,Metal,22.995,Pending
340,2023-04-07 00:00:00,58,Glass,30.762,Completed
341,2023-08-03 00:00:00,38,Paper,157.662,Rejected
342,2023-09-30 00:00:00,18,Paper,440.217,Rejected
343,2023-02-28 00:00:00,84,Paper,412.11,Pending
344,2023-06-22 00:00:00,66,Plastic,318.519,Pending
345,2023-10-21 00:00:00,99,Plastic,239.337,Pending
346,2023-12-11 00:00:00,12,Organic,446.526,Rejected
347,2023-02-27 00:00:00,86,Organic,364.311,Completed
348,2023-03-23 00:00:00,44,Plastic,70.083,Rejected
349,2023-05-09 00:00:00,63,Glass,278.685,Pending
350,2023-03-17 00:00:00,54,Paper,219.33,Rejected
351,2023-12-01 00:00:00,22,Paper,250.452,Pending
352,2024-01-17 00:00:00,60,Organic,296.28,Completed
353,2023-11-20 00:00:00,88,Plastic,12.042,Completed
354,2023-06-16 00:00:00,56,Glass,81.315,Rejected
355,2023-01-21 00:00:00,86,Glass,133.011,Rejected
356,2023-12-14 00:00:00,25,Glass,169.893,Pending
357,2023-10-08 00:00:00,46,Metal,117.9,Rejected
358,2023-01-10 00:00:00,53,Organic,295.515,Completed
359,2023-06-29 00:00:00,54,Paper,401.616,Completed
360,2023-05-03 00:00:00,33,Paper,120.816,Pending
361,2023-05-05 00:00:00,69,Plastic,381.141,Completed
362,2023-02-08 00:00:00,1,Paper,260.181,Completed
363,2024-03-24 00:00:00,66,Metal,183.483,Pending
364,2023-08-29 00:00:00,72,Organic,89.091,Completed
365,2023-10-17 00:00:00,84,Metal,46.611,Pending
366,2023-10-31 00:00:00,87,Metal,332.469,Rejected
367,2024-03-16 00:00:00,5,Glass,67.887,Pending
368,2023-03-27 00:00:00,25,Metal,153.369,Completed
369,2023-07-09 00:00:00,16,Glass,45.792,Rejected
370,2023-08-16 00:00:00,80,Glass,37.458,Completed
371,2023-11-25 00:00:00,36,Plastic,200.439,Completed
372,2023-03-17 00:00:00,34,Metal,225.747,Rejected
373,2024-02-20 00:00:00,52,Plastic,383.22,Completed
374,2023-08-09 00:00:00,40,Metal,347.049,Rejected
375,2024-01-24 00:00:00,94,Plastic,152.649,Pending
376,2024-02-03 00:00:00,9,Paper,46.458,Pending
377,2023-03-17 00:00:00,71,Organic,155.673,Pending
378,2023-05-05 00:00:00,84,Plastic,399.501,Pending
379,2024-02-07 00:00:00,49,Plastic,299.079,Rejected
380,2023-01-28 00:00:00,7,Paper,129.213,Pending
381,2023-05-20 00:00:00,25,Metal,304.947,Pending
382,2023-06-19 00:00:00,29,Metal,333.855,Completed
383,2023-02-19 00:00:00,40,Metal,418.005,Rejected
384,2024-02-17 00:00:00,9,Organic,12.042,Completed
385,2023-02-23 00:00:00,75,Metal,386.136,Rejected
386,2023-11-14 00:00:00,33,Glass,360.603,Rejected
387,2023-07-01 00:00:00,72,Glass,348.12,Completed
388,2023-05-16 00:00:00,18,Plastic,318.096,Rejected
389,2023-08-03 00:00:00,44,Glass,227.844,Completed
390,2023-01-01 00:00:00,7,Metal,63.261,Pending
391,2023-05-21 00:00:00,2,Plastic,11.079,Rejected
392,2023-08-21 00:00:00,61,Paper,292.329,Rejected
393,2023-01-02 00:00:00,64,Metal,94.122,Pending
394,2023-03-09 00:00:00,38,Paper,199.368,Completed
395,2023-04-03 00:00:00,77,Metal,70.956,Pending
396,2023-05-20 00:00:00,38,Organic,393.543,Pending
397,2023-07-18 00:00:00,73,Organic,261.675,Completed
398,2024-01-26 00:00:00,45,Paper,343.836,Completed
399,2023-05-27 00:00:00,79,Organic,232.587,Rejected
400,2024-01-23 00:00:00,1,Plastic,96.831,Completed
401,2024-03-25 00:00:00,39,Organic,410.166,Rejected
402,2023-08-11 00:00:00,71,Paper,357.777,Pending
403,2023-05-24 00:00:00,5,Paper,277.551,Pending
404,2023-12-01 00:00:00,58,Glass,211.005,Completed
405,2023-08-11 00:00:00,60,Plastic,92.709,Completed
406,2023-09-07 00:00:00,88,Metal,161.766,Pending
407,2023-08-29 00:00:00,15,Organic,319.599,Completed
408,2024-03-25 00:00:00,33,Metal,36.639,Pending
409,2023-09-19 00:00:00,55,Glass,335.385,Pending
410,2023-04-11 00:00:00,97,Glass,72.252,Completed
411,2023-07-01 00:00:00,10,Glass,274.923,Pending
412,2023-04-04 00:00:00,56,Metal,425.187,Completed
413,2023-03-08 00:00:00,39,Metal,353.997,Pending
414,2023-06-12 00:00:00,11,Paper,121.5,Pending
415,2023-06-27 00:00:00,17,Organic,108.981,Completed
416,2023-10-29 00:00:00,43,Plastic,416.061,Rejected
417,2023-07-28 00:00:00,18,Plastic,414.558,Rejected
418,2023-10-02 00:00:00,91,Paper,402.723,Completed
419,2023-01-02 00:00:00,9,Organic,113.94,Pending
420,2023-12-25 00:00:00,69,Organic,184.815,Pending
421,2024-01-31 00:00:00,54,Organic,29.475,Rejected
422,2024-02-15 00:00:00,74,Organic,267.426,Completed
423,2023-01-15 00:00:00,26,Metal,334.62,Completed
424,2023-11-20 00:00:00,52,Paper,250.551,Completed
425,2023-01-20 00:00:00,66,Glass,379.548,Completed
426,2023-07-10 00:00:00,19,Metal,156.6,Completed
427,2023-02-13 00:00:00,4,Metal,50.526,Completed
428,2023-04-19 00:00:00,23,Glass,209.781,Pending
429,2024-01-21 00:00:00,36,Metal,89.154,Rejected
430,2023-03-27 00:00:00,68,Paper,124.371,Completed
431,2023-10-27 00:00:00,37,Organic,307.773,Completed
432,2023-11-29 00:00:00,7,Glass,392.967,Pending
433,2023-05-07 00:00:00,31,Metal,108.774,Completed
434,2023-02-23 00:00:00,56,Paper,92.961,Pending
435,2023-12-21 00:00:00,78,Glass,161.667,Completed
436,2023-01-18 00:00:00,12,Glass,159.831,Completed
437,2023-03-03 00:00:00,86,Paper,384.561,Pending
438,2023-03-26 00:00:00,21,Glass,164.502,Rejected
439,2023-05-10 00:00:00,59,Organic,43.956,Completed
440,2023-12-22 00:00:00,49,Metal,377.316,Completed
441,2023-02-04 00:00:00,87,Plastic,84.843,Completed
442,2023-09-26 00:00:00,56,Organic,149.877,Completed
443,2023-07-18 00:00:00,57,Organic,203.409,Rejected
444,2024-02-11 00:00:00,53,Plastic,448.947,Pending
445,2023-07-20 00:00:00,81,Organic,429.093,Pending
446,2023-05-04 00:00:00,85,Plastic,176.985,Completed
447,2023-09-02 00:00:00,97,Glass,294.021,Rejected
448,2024-03-25 00:00:00,63,Plastic,335.403,Completed
449,2023-06-01 00:00:00,2,Paper,422.235,Rejected
450,2023-03-06 00:00:00,24,Glass,152.352,Rejected
451,2023-11-27 00:00:00,31,Paper,253.926,Rejected
452,2023-09-23 00:00:00,87,Plastic,169.182,Completed
453,2023-05-14 00:00:00,39,Glass,323.118,Pending
454,2023-02-26 00:00:00,53,Organic,168.084,Completed
455,2023-06-04 00:00:00,11,Metal,270.18,Completed
456,2024-02-12 00:00:00,69,Organic,284.904,Pending
457,2023-09-29 00:00:00,73,Paper,302.22,Rejected
458,2024-01-13 00:00:00,92,Glass,159.318,Rejected
459,2023-05-27 00:00:00,45,Organic,209.808,Rejected
460,2023-04-24 00:00:00,20,Paper,167.787,Pending
461,2024-02-15 00:00:00,43,Glass,401.13,Rejected
462,2023-09-11 00:00:00,97,Metal,216.981,Rejected
463,2023-05-02 00:00:00,83,Organic,406.413,Rejected
464,2023-09-25 00:00:00,29,Glass,438.885,Pending
465,2023-08-20 00:00:00,74,Metal,325.593,Pending
466,2023-05-13 00:00:00,56,Plastic,345.789,Rejected
467,2024-01-24 00:00:00,88,Paper,432.252,Completed
468,2023-08-17 00:00:00,30,Organic,278.19,Completed
469,2024-02-21 00:00:00,81,Paper,146.718,Completed
470,2024-02-26 00:00:00,11,Metal,294.309,Completed
471,2023-06-12 00:00:00,63,Organic,183.069,Completed
472,2023-04-13 00:00:00,96,Glass,53.379,Completed
