module,user_id,completion_percentage,last_updated,compliance_score
baling,42,57.38,2023-11-29 00:00:00,89.3
dispatch,47,50.56,2023-11-13 00:00:00,77.17
dispatch,24,58.39,2023-10-11 00:00:00,83.26
baling,2,84.38,2023-07-13 00:00:00,79.81
inward,63,73.51,2023-03-10 00:00:00,97.05
dispatch,91,94.07,2024-02-07 00:00:00,98.01
baling,62,69.25,2023-02-02 00:00:00,88.23
segregation,58,96.97,2023-01-27 00:00:00,87.62
segregation,52,98.05,2023-02-01 00:00:00,99.68
dispatch,54,89.81,2023-01-04 00:00:00,76.26
inward,9,62.32,2023-09-07 00:00:00,74.75
inward,9,77.1,2023-12-09 00:00:00,93.57
segregation,82,86.56,2023-05-03 00:00:00,79.48
dispatch,28,85.37,2023-02-06 00:00:00,95.45
baling,2,89.49,2023-02-19 00:00:00,91.02
segregation,97,67.73,2023-07-14 00:00:00,80.55
dispatch,84,77.69,2023-02-20 00:00:00,78.62
dispatch,100,94.99,2023-08-24 00:00:00,83.75
inward,68,93.09,2023-09-27 00:00:00,98.72
inward,34,52.3,2023-06-08 00:00:00,94.43
inward,36,60.46,2024-01-16 00:00:00,83.29
segregation,21,86.21,2023-12-22 00:00:00,86.55
dispatch,86,78.66,2023-09-03 00:00:00,96.38
baling,3,65.97,2023-03-04 00:00:00,72.65
inward,73,80.16,2023-01-25 00:00:00,76.49
baling,48,71.6,2023-11-26 00:00:00,90.96
baling,9,61.87,2023-11-03 00:00:00,83.27
segregation,70,78.08,2024-02-29 00:00:00,77.54
baling,54,63.15,2023-11-03 00:00:00,76.52
inward,91,98.6,2023-11-23 00:00:00,82.49
dispatch,80,77.86,2023-12-16 00:00:00,96.46
dispatch,72,99.33,2023-06-10 00:00:00,98.19
dispatch,35,62.65,2023-09-25 00:00:00,95.6
segregation,18,64.47,2024-01-06 00:00:00,83.75
baling,65,94.54,2024-01-11 00:00:00,75.63
baling,36,71.86,2024-01-26 00:00:00,89.26
inward,70,91.53,2023-07-21 00:00:00,83.81
baling,92,74.13,2023-03-24 00:00:00,99.96
dispatch,86,56.7,2024-01-30 00:00:00,97.87
dispatch,29,52.15,2023-10-10 00:00:00,76.28
segregation,35,78.9,2024-01-18 00:00:00,91.51
baling,74,68.13,2023-09-17 00:00:00,89.12
dispatch,38,93.81,2023-06-13 00:00:00,72.84
segregation,55,75.14,2023-09-01 00:00:00,97.1
baling,10,64.82,2024-01-22 00:00:00,97.86
dispatch,24,57.42,2023-07-22 00:00:00,95.62
segregation,65,74.02,2024-03-16 00:00:00,97.53
segregation,72,70.56,2023-12-19 00:00:00,99.04
baling,69,77.45,2023-02-02 00:00:00,87.93
segregation,19,55.89,2023-03-16 00:00:00,76.34
segregation,42,76.29,2024-01-21 00:00:00,94.94
inward,21,50.94,2023-09-05 00:00:00,76.93
baling,6,71.56,2023-06-10 00:00:00,92.44
dispatch,63,88.98,2023-12-21 00:00:00,81.64
inward,73,54.27,2023-01-24 00:00:00,81.5
baling,83,58.58,2023-07-27 00:00:00,91.68
dispatch,30,52.52,2023-06-15 00:00:00,92.55
dispatch,7,58.63,2024-03-02 00:00:00,88.2
baling,49,50.16,2023-01-08 00:00:00,83.27
baling,56,61.82,2023-04-07 00:00:00,87.35
inward,58,71.46,2024-01-10 00:00:00,86.46
inward,23,94.91,2023-01-25 00:00:00,82.45
segregation,94,59.81,2024-02-12 00:00:00,85.35
dispatch,33,63.3,2023-05-12 00:00:00,92.08
inward,97,64.05,2023-08-01 00:00:00,78.73
baling,73,58.52,2023-08-09 00:00:00,98.74
dispatch,10,54.8,2023-02-24 00:00:00,88.2
dispatch,8,75.24,2024-02-28 00:00:00,71.33
segregation,55,73.27,2023-01-16 00:00:00,81.11
segregation,33,80.97,2023-10-29 00:00:00,70.98
baling,37,73.33,2023-09-23 00:00:00,77.6
baling,7,60.99,2023-07-03 00:00:00,86.86
inward,62,66.56,2023-08-30 00:00:00,92
inward,29,55.35,2023-01-09 00:00:00,86.87
dispatch,12,76.47,2023-12-22 00:00:00,88.41
dispatch,16,70.86,2023-04-14 00:00:00,92.42
inward,97,68.32,2024-02-17 00:00:00,79.16
dispatch,57,87.65,2024-01-19 00:00:00,84.07
baling,34,71.73,2023-11-06 00:00:00,97.06
inward,61,75.93,2023-01-02 00:00:00,89.95
baling,46,61.6,2023-12-28 00:00:00,86.9
inward,42,70,2023-01-05 00:00:00,94.61
segregation,97,93.53,2023-08-13 00:00:00,88.25
baling,7,55.48,2023-12-10 00:00:00,88.23
baling,33,72.93,2023-01-31 00:00:00,98.91
baling,60,71.96,2024-01-23 00:00:00,87.93
segregation,48,74.03,2023-07-15 00:00:00,92.3
baling,27,97.47,2023-07-21 00:00:00,89.2
baling,49,83.05,2024-03-15 00:00:00,93.93
baling,52,85.21,2023-03-21 00:00:00,95.18
segregation,24,56.41,2023-07-16 00:00:00,75.35
inward,14,81.94,2023-07-18 00:00:00,85.47
dispatch,38,53.66,2023-07-16 00:00:00,86.95
inward,20,78.38,2023-06-21 00:00:00,81.78
baling,5,71.41,2024-02-15 00:00:00,70.14
baling,37,77.28,2023-06-06 00:00:00,94.81
inward,59,87.02,2023-04-18 00:00:00,71.24
inward,24,63.08,2023-07-04 00:00:00,72.88
baling,80,91.2,2024-01-15 00:00:00,79.21
dispatch,83,96.26,2023-01-11 00:00:00,99.5
dispatch,31,55.35,2023-10-14 00:00:00,90.57
inward,6,53.9,2024-01-03 00:00:00,73.53
dispatch,7,89.08,2024-01-29 00:00:00,82.25
baling,9,52.9,2023-12-09 00:00:00,90.93
dispatch,57,61.08,2023-11-13 00:00:00,85.65
baling,28,91.36,2023-04-24 00:00:00,94.57
inward,50,59.18,2023-04-15 00:00:00,94.98
inward,86,72.61,2023-10-08 00:00:00,93.33
baling,6,97.74,2023-08-09 00:00:00,82.18
inward,61,66.38,2023-10-06 00:00:00,94.51
inward,76,93.76,2023-02-23 00:00:00,88
segregation,64,65.94,2023-09-15 00:00:00,98.12
baling,4,96.49,2024-03-18 00:00:00,88.68
dispatch,92,88.62,2023-10-15 00:00:00,83.27
inward,4,66.3,2023-11-11 00:00:00,94.21
segregation,93,98.49,2023-10-05 00:00:00,97.57
inward,21,53.51,2023-06-05 00:00:00,80.95
inward,51,76.91,2023-06-08 00:00:00,95.8
segregation,70,98.54,2023-10-28 00:00:00,92.28
dispatch,61,63.98,2023-11-02 00:00:00,80.2
baling,16,84.07,2023-08-31 00:00:00,98.69
dispatch,48,61.31,2024-02-17 00:00:00,80.32
baling,7,83.58,2024-03-18 00:00:00,98.55
baling,27,82.32,2023-03-16 00:00:00,75
baling,22,63.49,2024-01-21 00:00:00,87.42
segregation,39,90.56,2023-06-23 00:00:00,90.54
segregation,36,57.19,2023-09-16 00:00:00,80.52
dispatch,100,69.09,2023-03-24 00:00:00,92.71
inward,59,68.4,2024-03-05 00:00:00,96.02
baling,78,57.1,2024-01-19 00:00:00,88.66
inward,83,60.5,2023-05-10 00:00:00,92.69
inward,95,69.44,2023-02-24 00:00:00,82.61
segregation,61,50.79,2023-04-10 00:00:00,88.45
dispatch,96,66.86,2024-01-23 00:00:00,92.03
segregation,31,81.68,2023-12-25 00:00:00,92.1
baling,11,82.27,2023-05-31 00:00:00,90.89
segregation,85,81.15,2023-05-27 00:00:00,89.39
dispatch,49,82.99,2023-05-13 00:00:00,70.4
segregation,64,78.41,2023-10-15 00:00:00,80.78
dispatch,1,50.34,2024-01-20 00:00:00,86.57
baling,3,97.53,2023-10-30 00:00:00,92.4
baling,8,88.73,2023-04-08 00:00:00,78.86
inward,70,59.58,2024-02-12 00:00:00,98.25
inward,50,54.02,2023-11-22 00:00:00,83.02
baling,36,71.77,2023-05-20 00:00:00,70.62
baling,96,68.52,2023-03-01 00:00:00,97.03
inward,53,83.97,2023-07-18 00:00:00,97.81
inward,42,77.5,2024-02-18 00:00:00,71.35
segregation,10,53.22,2023-12-03 00:00:00,84.61
inward,14,89.17,2023-05-19 00:00:00,90.25
dispatch,40,60.7,2023-06-26 00:00:00,87.77
dispatch,57,87.93,2023-07-09 00:00:00,72.69
inward,63,99.2,2023-10-30 00:00:00,89.1
segregation,87,50.49,2023-02-23 00:00:00,91.12
inward,55,83.75,2023-07-05 00:00:00,79.99
inward,99,65.58,2023-07-18 00:00:00,90.93
segregation,69,85.98,2023-07-12 00:00:00,90.95
inward,22,60.17,2023-07-29 00:00:00,82.56
dispatch,44,84.28,2023-01-04 00:00:00,91.45
dispatch,39,73.09,2023-05-31 00:00:00,95.85
inward,22,60.49,2023-04-28 00:00:00,79.44
segregation,41,76.1,2023-12-12 00:00:00,76.78
dispatch,75,76.33,2024-01-02 00:00:00,80.08
dispatch,85,82.36,2023-12-22 00:00:00,73.56
baling,69,63.8,2023-02-18 00:00:00,83.29
dispatch,75,97.62,2023-07-03 00:00:00,75.5
baling,91,54.19,2023-10-22 00:00:00,83.79
segregation,9,62.12,2023-11-15 00:00:00,99.86
inward,71,52.45,2023-03-30 00:00:00,97.84
dispatch,95,79.87,2023-07-04 00:00:00,75.14
segregation,49,83.82,2023-03-23 00:00:00,80.32
baling,98,66.61,2023-09-27 00:00:00,93.82
inward,57,78.88,2024-02-16 00:00:00,75.93
inward,1,70.4,2023-02-27 00:00:00,88
dispatch,7,53.07,2024-02-01 00:00:00,98.62
inward,28,63.39,2024-03-06 00:00:00,78.39
inward,33,76.11,2023-01-21 00:00:00,76.82
segregation,46,56.16,2023-04-06 00:00:00,78.67
dispatch,75,87.34,2023-06-04 00:00:00,79.96
inward,27,66.62,2023-03-25 00:00:00,83.12
inward,59,97.7,2023-07-04 00:00:00,84.11
baling,36,55.69,2024-03-17 00:00:00,90.51
baling,85,69.12,2023-04-10 00:00:00,83.85
baling,49,75.55,2023-11-18 00:00:00,78.06
dispatch,24,84.26,2023-06-17 00:00:00,77.82
segregation,78,61.67,2023-12-03 00:00:00,89.65
segregation,92,95.84,2023-03-25 00:00:00,71.08
inward,84,99.23,2023-11-17 00:00:00,76.2
baling,41,60.86,2024-02-24 00:00:00,72.17
inward,52,69.76,2024-02-23 00:00:00,87.76
segregation,83,81.13,2023-12-24 00:00:00,98.65
dispatch,88,60.69,2024-02-15 00:00:00,85.28
baling,3,50.12,2023-04-16 00:00:00,89.7
baling,21,91.53,2023-09-22 00:00:00,88.76
segregation,23,89.22,2023-03-27 00:00:00,92.41
baling,29,95.77,2024-02-01 00:00:00,90.55
baling,18,55.5,2023-04-11 00:00:00,97.52
segregation,78,56.49,2024-01-05 00:00:00,82.13
baling,28,61.02,2023-06-21 00:00:00,72.73
baling,74,67.24,2023-06-09 00:00:00,76.05
inward,51,58.92,2023-05-24 00:00:00,80.3
dispatch,48,51.15,2023-05-18 00:00:00,88.24
inward,76,98.02,2023-11-21 00:00:00,98.18
inward,59,62.69,2024-03-15 00:00:00,87.29
baling,89,70.15,2023-09-26 00:00:00,81.59
segregation,12,51.51,2023-05-19 00:00:00,84.23
inward,47,72.96,2023-10-02 00:00:00,72.92
inward,65,96.28,2023-12-23 00:00:00,89.19
segregation,80,51.92,2023-03-09 00:00:00,81.49
baling,84,76.57,2023-10-31 00:00:00,73.92
segregation,64,67.6,2023-06-18 00:00:00,81.64
baling,33,83.63,2023-11-19 00:00:00,75.91
segregation,74,73.47,2023-01-12 00:00:00,86.87
segregation,32,98.92,2023-03-27 00:00:00,77.62
dispatch,25,50.52,2024-01-23 00:00:00,75.68
segregation,16,61.75,2024-03-19 00:00:00,82.6
segregation,96,92.94,2024-03-10 00:00:00,98.96
segregation,98,51.25,2024-01-13 00:00:00,84.44
dispatch,96,99.45,2023-06-07 00:00:00,72.17
segregation,45,78.34,2023-07-28 00:00:00,96
dispatch,32,73.24,2023-07-01 00:00:00,91.31
dispatch,70,55.03,2023-06-01 00:00:00,74.11
dispatch,48,74.78,2023-06-05 00:00:00,70.46
dispatch,60,83.79,2023-02-15 00:00:00,76.12
segregation,70,76.13,2024-03-10 00:00:00,79.42
baling,76,93.93,2023-10-02 00:00:00,87.79
dispatch,77,81.16,2023-04-14 00:00:00,90.55
dispatch,16,61.22,2023-01-03 00:00:00,93.28
inward,21,96.04,2023-07-13 00:00:00,75.08
inward,21,73.79,2023-12-11 00:00:00,79.37
segregation,47,86.24,2023-10-15 00:00:00,81.75
baling,7,89.5,2023-07-21 00:00:00,89.3
inward,18,79.25,2023-06-27 00:00:00,94.37
inward,38,50.69,2023-08-07 00:00:00,87.96
baling,87,95.59,2023-06-09 00:00:00,86.56
segregation,47,50.79,2024-03-09 00:00:00,75.12
inward,43,83.39,2023-06-25 00:00:00,96.25
segregation,78,87.87,2023-10-12 00:00:00,89.47
inward,83,56.44,2023-03-28 00:00:00,75.22
segregation,98,77.01,2023-02-26 00:00:00,98.95
inward,71,60.43,2023-08-13 00:00:00,75.35
dispatch,38,80.61,2024-02-16 00:00:00,90.58
dispatch,31,99.93,2024-02-05 00:00:00,87.66
dispatch,12,85.6,2023-10-03 00:00:00,86.86
dispatch,38,78.14,2023-02-27 00:00:00,93.83
dispatch,44,82.83,2023-06-22 00:00:00,85.56
inward,67,88.75,2023-08-21 00:00:00,79.97
baling,42,92.2,2023-04-17 00:00:00,98.03
inward,65,95.46,2023-08-07 00:00:00,76.51
dispatch,14,62.41,2023-04-24 00:00:00,98.43
baling,58,51.49,2023-10-08 00:00:00,89.21
segregation,71,96.96,2023-11-06 00:00:00,93.25
dispatch,72,65.67,2023-02-14 00:00:00,71.5
inward,23,61.78,2023-03-01 00:00:00,95.11
baling,2,89.49,2024-02-25 00:00:00,72.91
baling,31,86.19,2024-02-05 00:00:00,91.24
dispatch,75,85.17,2023-10-26 00:00:00,74
baling,29,77.05,2023-01-21 00:00:00,88.63
segregation,84,97.92,2023-12-16 00:00:00,73.58
dispatch,27,71.67,2024-02-02 00:00:00,74.56
inward,9,87.73,2023-03-04 00:00:00,87.17
inward,11,94.97,2023-11-10 00:00:00,94.89
inward,56,94.62,2024-03-02 00:00:00,93.87
dispatch,41,89.92,2023-12-08 00:00:00,91.74
dispatch,55,93.47,2024-02-06 00:00:00,76.41
dispatch,89,65.56,2023-06-20 00:00:00,70.89
segregation,59,53.34,2023-11-03 00:00:00,89.84
baling,48,76.09,2023-10-19 00:00:00,72.55
dispatch,38,64.17,2023-01-13 00:00:00,75.43
dispatch,1,65.79,2023-06-03 00:00:00,75.77
dispatch,64,91.22,2024-02-22 00:00:00,77.76
segregation,33,97.17,2024-01-27 00:00:00,71.73
inward,82,89.84,2023-10-18 00:00:00,82.21
dispatch,9,87.44,2024-03-26 00:00:00,82.16
dispatch,81,66.95,2023-10-01 00:00:00,88.31
inward,16,77.99,2023-09-14 00:00:00,80.75
segregation,45,78.53,2024-01-24 00:00:00,71.86
baling,54,82.11,2023-06-11 00:00:00,85.53
segregation,27,98.14,2023-12-09 00:00:00,74.4
inward,32,64,2023-02-07 00:00:00,91.72
inward,80,81.32,2023-12-17 00:00:00,93.93
inward,12,69.52,2023-08-04 00:00:00,97.82
inward,29,66.35,2023-12-05 00:00:00,98.12
segregation,71,82.15,2023-10-01 00:00:00,71.49
segregation,55,55.49,2023-05-21 00:00:00,90.6
inward,15,64.36,2023-11-17 00:00:00,82.9
inward,6,88.82,2023-10-15 00:00:00,86.7
dispatch,64,80.18,2023-07-12 00:00:00,95.28
segregation,33,72.72,2023-04-28 00:00:00,86
baling,43,66.48,2023-08-03 00:00:00,94.78
segregation,15,51.75,2023-03-17 00:00:00,80.19
inward,20,69.55,2023-08-27 00:00:00,78.79
dispatch,36,93.34,2023-02-28 00:00:00,73.67
inward,56,73.5,2023-11-21 00:00:00,76.94
inward,78,92.68,2023-02-11 00:00:00,94.39
segregation,54,80.09,2023-01-19 00:00:00,71.95
baling,2,81.24,2023-08-26 00:00:00,83.94
inward,1,98.4,2023-05-02 00:00:00,93.04
dispatch,82,95.61,2024-01-26 00:00:00,97.79
dispatch,36,70.26,2023-04-12 00:00:00,74.03
dispatch,82,97.03,2023-12-13 00:00:00,87.42
inward,70,76.58,2023-08-31 00:00:00,71.77
inward,72,59.5,2023-01-16 00:00:00,74.33
segregation,2,93.13,2023-09-02 00:00:00,90.23
segregation,21,50.71,2023-01-22 00:00:00,80.87
dispatch,71,68.28,2023-02-16 00:00:00,73.33
segregation,13,57.27,2023-05-08 00:00:00,99.45
segregation,3,87.88,2023-03-29 00:00:00,75.18
inward,35,76.47,2023-12-10 00:00:00,86.33
segregation,74,68.4,2023-05-28 00:00:00,75.11
inward,57,93.32,2023-08-04 00:00:00,89.66
baling,62,71.88,2023-09-01 00:00:00,80.73
segregation,8,73.34,2023-05-09 00:00:00,96.11
segregation,82,85.76,2024-02-28 00:00:00,74.08
segregation,84,57.66,2024-01-17 00:00:00,78.29
segregation,41,70.9,2023-04-28 00:00:00,88.86
inward,4,58.61,2024-02-21 00:00:00,91.72
inward,45,69.11,2023-04-19 00:00:00,88.15
dispatch,91,67.34,2023-04-07 00:00:00,74.37
baling,19,67.43,2023-08-15 00:00:00,83.43
inward,42,91.3,2023-01-17 00:00:00,98.13
baling,13,55.44,2023-04-15 00:00:00,82.95
dispatch,55,90.05,2023-03-02 00:00:00,72.1
baling,90,55.5,2023-02-15 00:00:00,88.32
inward,50,76.28,2023-09-07 00:00:00,79.35
dispatch,85,75.77,2024-03-05 00:00:00,81.49
baling,77,81.81,2023-12-30 00:00:00,82.52
baling,20,66.86,2023-02-11 00:00:00,93.07
segregation,27,84.67,2023-10-15 00:00:00,87.26
inward,93,99.94,2024-01-19 00:00:00,93.78
dispatch,94,80.61,2023-05-24 00:00:00,70.09
baling,5,68.82,2024-01-14 00:00:00,83.38
dispatch,77,57.55,2023-07-21 00:00:00,74.94
dispatch,40,50.96,2023-12-19 00:00:00,96.35
dispatch,82,66.15,2023-07-22 00:00:00,82.13
inward,76,86.82,2023-01-24 00:00:00,93.41
segregation,48,95.21,2023-04-30 00:00:00,96.42
inward,37,93.49,2023-02-25 00:00:00,90.97
dispatch,77,80.65,2023-08-30 00:00:00,98.67
inward,60,52.66,2023-04-01 00:00:00,80.6
segregation,50,98.48,2023-06-12 00:00:00,89.7
inward,52,50.57,2023-10-05 00:00:00,96.66
baling,50,95.56,2024-03-12 00:00:00,90.85
baling,31,94.26,2023-09-26 00:00:00,86.38
segregation,42,68.31,2023-06-05 00:00:00,75.7
baling,9,78.24,2024-01-31 00:00:00,79.05
dispatch,33,82.76,2023-11-29 00:00:00,85.12
segregation,85,78.47,2024-01-20 00:00:00,96.07
baling,55,77.89,2024-01-29 00:00:00,95.98
dispatch,83,57.04,2024-03-15 00:00:00,78.66
inward,53,57.41,2024-01-31 00:00:00,91.66
segregation,68,57.54,2024-03-06 00:00:00,86.77
segregation,2,64.6,2023-05-09 00:00:00,86.94
dispatch,70,83.14,2024-03-10 00:00:00,91.68
inward,46,58.78,2023-10-28 00:00:00,90.13
inward,1,55.72,2023-06-28 00:00:00,72.78
baling,11,72.79,2023-08-01 00:00:00,71.83
dispatch,30,86.4,2024-02-13 00:00:00,72.06
baling,74,61.18,2023-01-01 00:00:00,98.83
inward,65,70.93,2023-04-06 00:00:00,81.37
baling,45,51.2,2024-02-05 00:00:00,70.73
dispatch,23,53.1,2023-09-10 00:00:00,78.86
baling,74,84.99,2023-04-11 00:00:00,71.95
dispatch,45,82.51,2023-07-06 00:00:00,85.57
dispatch,56,67.15,2023-11-02 00:00:00,79.59
segregation,79,78.66,2023-11-09 00:00:00,81
dispatch,87,81.72,2024-03-04 00:00:00,76.52
dispatch,15,82.97,2023-05-06 00:00:00,93.63
baling,24,84.05,2023-09-03 00:00:00,86.45
inward,59,97.86,2023-11-20 00:00:00,95.83
segregation,57,99.85,2023-06-26 00:00:00,84.91
inward,93,96.26,2023-05-04 00:00:00,97.18
dispatch,18,94.4,2023-10-22 00:00:00,70.59
segregation,53,97.42,2023-03-22 00:00:00,88.03
inward,40,85.77,2023-09-29 00:00:00,71.42
inward,18,86.6,2023-02-12 00:00:00,83.19
segregation,97,60.6,2023-01-10 00:00:00,72.82
baling,18,79.29,2024-01-22 00:00:00,85.6
baling,28,95.27,2023-07-29 00:00:00,98.82
segregation,65,69.92,2023-05-21 00:00:00,99.3
segregation,58,62.62,2023-01-21 00:00:00,70.01
baling,74,87.97,2024-01-19 00:00:00,77.26
segregation,86,52.55,2023-05-12 00:00:00,84.05
segregation,48,64.5,2023-09-25 00:00:00,77.28
segregation,7,68.37,2023-07-08 00:00:00,93.06
inward,64,76.73,2024-03-26 00:00:00,84.06
inward,48,83.1,2023-02-14 00:00:00,78.32
dispatch,37,86.11,2023-11-08 00:00:00,79.22
baling,21,77.46,2023-01-29 00:00:00,88.19
dispatch,42,54.67,2024-03-09 00:00:00,78.18
inward,81,82.36,2023-05-02 00:00:00,70.54
inward,26,97.5,2023-11-05 00:00:00,94.72
inward,12,66.03,2023-02-26 00:00:00,99.41
inward,88,76.18,2023-12-12 00:00:00,88.42
baling,64,99.37,2024-03-01 00:00:00,76.76
segregation,74,64.4,2023-12-03 00:00:00,94.87
dispatch,21,60.28,2023-04-14 00:00:00,88.44
dispatch,16,96.79,2023-11-19 00:00:00,96.96
segregation,29,91.04,2023-12-13 00:00:00,82.22
baling,20,97.48,2023-06-05 00:00:00,94.38
segregation,19,83.2,2023-09-07 00:00:00,81.1
baling,12,61.92,2024-02-15 00:00:00,98.68
baling,62,55.26,2023-01-06 00:00:00,88.12
baling,19,76.09,2023-04-24 00:00:00,84.33
baling,75,67.76,2023-01-26 00:00:00,74.9
segregation,93,54.05,2023-07-10 00:00:00,76.14
baling,75,59.68,2023-05-13 00:00:00,82.64
baling,68,66.38,2023-04-17 00:00:00,76.28
dispatch,43,98.73,2024-03-22 00:00:00,88.95
segregation,96,89.26,2023-09-17 00:00:00,73.76
inward,1,98.33,2024-01-11 00:00:00,74.7
inward,43,92.07,2023-03-18 00:00:00,92.64
segregation,8,97.38,2023-12-16 00:00:00,81.12
dispatch,29,67.1,2023-10-19 00:00:00,73.87
dispatch,99,99.33,2024-02-28 00:00:00,91.06
segregation,100,93.35,2024-01-21 00:00:00,97.91
inward,30,74.98,2023-12-09 00:00:00,73.62
dispatch,60,51.72,2024-03-04 00:00:00,86.94
baling,44,99.94,2023-09-01 00:00:00,74.55
baling,35,69.47,2023-07-25 00:00:00,96.02
dispatch,83,79.3,2023-06-25 00:00:00,75.3
segregation,58,52.72,2023-04-03 00:00:00,70.94
dispatch,25,70.77,2023-12-02 00:00:00,72.94
baling,39,93.04,2023-06-06 00:00:00,86.03
dispatch,30,92.53,2024-02-02 00:00:00,76.37
inward,83,81.24,2023-07-12 00:00:00,98.81
inward,64,93.97,2024-03-09 00:00:00,89.96
inward,94,72.6,2023-07-05 00:00:00,75.27
inward,78,58.05,2023-10-27 00:00:00,85.39
baling,55,94.04,2023-02-19 00:00:00,72.25
dispatch,88,56.98,2023-08-07 00:00:00,96.74
segregation,40,50.36,2024-02-14 00:00:00,86.38
inward,96,61.78,2024-02-07 00:00:00,76.33
segregation,2,88.66,2023-09-05 00:00:00,73.81
segregation,96,80.54,2023-11-13 00:00:00,78.87
segregation,21,95.04,2023-10-19 00:00:00,72.64
inward,80,88.13,2023-07-06 00:00:00,79.57
